problem,regime,budget,model,rmse,n_predictions
mdgnc,T,225,MG LD-WLOA,0.15735739567285986,23068
mdgnc,T,250,BLR,1.1637967786013717,23134
mdgnc,T,250,ESP,0.18147109218599436,23134
mdgnc,T,250,Hierarchical,0.1761653962146436,23134
mdgnc,T,250,KPLS,0.3071936804501179,23134
mdgnc,T,250,MG LD-WLOA,0.1407605655471173,23134
mdgnc,T,275,BLR,1.035547076357974,23134
mdgnc,T,275,ESP,0.2038689554568642,23134
mdgnc,T,275,Hierarchical,0.25551234845063897,23134
mdgnc,T,275,KPLS,0.27390058207829726,23134
mdgnc,T,275,MG LD-WLOA,0.0973949161549464,23134
mdgnc,T,300,BLR,0.9405097087812255,23134
mdgnc,T,300,ESP,0.12810173491035642,23134
mdgnc,T,300,Hierarchical,0.13094520748886943,23134
mdgnc,T,300,KPLS,0.24371705885821884,23134
mdgnc,T,300,MG LD-WLOA,0.08402992489461308,23134
mdgnc_edge_failures,A,25,BLR,0.8874580189670852,985
mdgnc_edge_failures,A,25,ESP,0.1648445703932964,985
mdgnc_edge_failures,A,25,Hierarchical,0.6604629254110814,985
mdgnc_edge_failures,A,25,KPLS,0.7664176941495462,985
mdgnc_edge_failures,A,25,MG LD-WLOA,0.2000111387208363,985
mdgnc_edge_failures,A,50,BLR,0.8011364815919813,1906
mdgnc_edge_failures,A,50,ESP,0.19531157272229002,1906
mdgnc_edge_failures,A,50,Hierarchical,0.39794368349773684,1906
mdgnc_edge_failures,A,50,KPLS,0.9108453362320734,1906
mdgnc_edge_failures,A,50,MG LD-WLOA,0.16277416389638102,1906
mdgnc_edge_failures,A,75,BLR,0.8254353035769687,2862
mdgnc_edge_failures,A,75,ESP,0.188613244005349,2862
mdgnc_edge_failures,A,75,Hierarchical,0.2231352661586721,2862
mdgnc_edge_failures,A,75,KPLS,1.113885410672319,2862
mdgnc_edge_failures,A,75,MG LD-WLOA,0.15376320014468997,2862
mdgnc_edge_failures,A,100,BLR,0.8217168126200929,3527
mdgnc_edge_failures,A,100,ESP,0.17758805131810537,3527
mdgnc_edge_failures,A,100,Hierarchical,0.17807553877846904,3527
mdgnc_edge_failures,A,100,KPLS,0.9369280860588897,3527
mdgnc_edge_failures,A,100,MG LD-WLOA,0.14011298172372205,3527
mdgnc_edge_failures,A,125,BLR,0.9061564266020945,4068
mdgnc_edge_failures,A,125,ESP,0.21828972493639726,4068
mdgnc_edge_failures,A,125,Hierarchical,0.2646877002610148,4068
mdgnc_edge_failures,A,125,KPLS,0.8929989475214818,4068
mdgnc_edge_failures,A,125,MG LD-WLOA,0.1093004254011414,4068
mdgnc_edge_failures,A,150,BLR,0.9382775855706162,4804
mdgnc_edge_failures,A,150,ESP,0.13951791201001845,4804
mdgnc_edge_failures,A,150,Hierarchical,0.17219575773683968,4804
mdgnc_edge_failures,A,150,KPLS,0.8395695759388339,4804
mdgnc_edge_failures,A,150,MG LD-WLOA,0.0963383119612602,4804
mdgnc_edge_failures,A,175,BLR,0.9098957756897438,5046
mdgnc_edge_failures,A,175,ESP,0.13625159417835175,5046
mdgnc_edge_failures,A,175,Hierarchical,0.19065407710495702,5046
mdgnc_edge_failures,A,175,KPLS,0.8521197787526614,5046
mdgnc_edge_failures,A,175,MG LD-WLOA,0.09486271789529037,5046
mdgnc_edge_failures,A,200,BLR,0.9374011191235931,5386
mdgnc_edge_failures,A,200,ESP,0.11867224385839442,5386
mdgnc_edge_failures,A,200,Hierarchical,0.1715038568737387,5386
mdgnc_edge_failures,A,200,KPLS,0.7648351295380824,5386
mdgnc_edge_failures,A,200,MG LD-WLOA,0.10579571793989556,5386
mdgnc_edge_failures,A,225,BLR,0.9646069216790719,5803
mdgnc_edge_failures,A,225,ESP,0.12802976061373775,5803
mdgnc_edge_failures,A,225,Hierarchical,0.21219265684845542,5803
mdgnc_edge_failures,A,225,KPLS,0.6995876690876798,5803
mdgnc_edge_failures,A,225,MG LD-WLOA,0.0911367594548728,5803
mdgnc_edge_failures,A,250,BLR,0.9052658565343029,5877
mdgnc_edge_failures,A,250,ESP,0.10178654776564668,5877
mdgnc_edge_failures,A,250,Hierarchical,0.17997376145208654,5877
mdgnc_edge_failures,A,250,KPLS,0.7648481383193346,5877
mdgnc_edge_failures,A,250,MG LD-WLOA,0.08750435724240804,5877
mdgnc_edge_failures,A,275,BLR,0.9228505447185382,5996
mdgnc_edge_failures,A,275,ESP,0.1140290011523057,5996
mdgnc_edge_failures,A,275,Hierarchical,0.17691056892447882,5996
mdgnc_edge_failures,A,275,KPLS,0.6914641464362558,5996
mdgnc_edge_failures,A,275,MG LD-WLOA,0.10865144778723591,5996
mdgnc_edge_failures,A,300,BLR,0.8678010710571687,6027
mdgnc_edge_failures,A,300,ESP,0.09528865431396225,6027
mdgnc_edge_failures,A,300,Hierarchical,0.19406021875927512,6027
mdgnc_edge_failures,A,300,KPLS,0.642636998311042,6027
mdgnc_edge_failures,A,300,MG LD-WLOA,0.07298356330683993,6027
mdgnc_edge_failures,B,25,BLR,1.540957094714707,42757
mdgnc_edge_failures,B,25,ESP,0.7110572461265406,42757
mdgnc_edge_failures,B,25,Hierarchical,1.5713076671647288,42757
mdgnc_edge_failures,B,25,KPLS,1.506710191239049,42757
mdgnc_edge_failures,B,25,MG LD-WLOA,0.6166685806151627,42757
mdgnc_edge_failures,B,50,BLR,1.1871597641381761,41139
mdgnc_edge_failures,B,50,ESP,0.5323085354505969,41139
mdgnc_edge_failures,B,50,Hierarchical,0.8141859056575238,41139
mdgnc_edge_failures,B,50,KPLS,1.4489587581043268,41139
mdgnc_edge_failures,B,50,MG LD-WLOA,0.4520911823418892,41139
mdgnc_edge_failures,B,75,BLR,1.094400843967649,39343
mdgnc_edge_failures,B,75,ESP,0.48553944022290535,39343
mdgnc_edge_failures,B,75,Hierarchical,0.49690344365846073,39343
mdgnc_edge_failures,B,75,KPLS,1.464603223680587,39343
mdgnc_edge_failures,B,75,MG LD-WLOA,0.37092565357781265,39343
mdgnc_edge_failures,B,100,BLR,1.0537679518197778,38104
mdgnc_edge_failures,B,100,ESP,0.4681353046634535,38104
mdgnc_edge_failures,B,100,Hierarchical,0.5456723912822742,38104
mdgnc_edge_failures,B,100,KPLS,1.357157085446862,38104
mdgnc_edge_failures,B,100,MG LD-WLOA,0.29313078506549,38104
mdgnc_edge_failures,B,125,BLR,1.0266522964081828,35955
mdgnc_edge_failures,B,125,ESP,0.4538291690788959,35955
mdgnc_edge_failures,B,125,Hierarchical,0.5471222901459328,35955
mdgnc_edge_failures,B,125,KPLS,1.3819205409842248,35955
mdgnc_edge_failures,B,125,MG LD-WLOA,0.2675151034265025,35955
mdgnc_edge_failures,B,150,BLR,1.0238448027352567,34862
mdgnc_edge_failures,B,150,ESP,0.3830904851200219,34862
mdgnc_edge_failures,B,150,Hierarchical,0.4450241298117308,34862
mdgnc_edge_failures,B,150,KPLS,1.3182566113245073,34862
mdgnc_edge_failures,B,150,MG LD-WLOA,0.25137684086443435,34862
mdgnc_edge_failures,B,175,BLR,0.9796366565246778,33658
mdgnc_edge_failures,B,175,ESP,0.3974485004113653,33658
mdgnc_edge_failures,B,175,Hierarchical,0.41846783035104373,33658
mdgnc_edge_failures,B,175,KPLS,1.3545034437919048,33658
mdgnc_edge_failures,B,175,MG LD-WLOA,0.2877923516966272,33658
mdgnc_edge_failures,B,200,BLR,0.9951615879544417,33226
mdgnc_edge_failures,B,200,ESP,0.3359239637112054,33226
mdgnc_edge_failures,B,200,Hierarchical,0.39604074268380246,33226
mdgnc_edge_failures,B,200,KPLS,1.2990706919434114,33226
mdgnc_edge_failures,B,200,MG LD-WLOA,0.2313860461223585,33226
mdgnc_edge_failures,B,225,BLR,0.9950372332213361,31697
mdgnc_edge_failures,B,225,ESP,0.37550015906630335,31697
mdgnc_edge_failures,B,225,Hierarchical,0.5623825848873193,31697
mdgnc_edge_failures,B,225,KPLS,1.2960696827250273,31697
mdgnc_edge_failures,B,225,MG LD-WLOA,0.23456920162251824,31697
mdgnc_edge_failures,B,250,BLR,0.9673113698896244,30226
mdgnc_edge_failures,B,250,ESP,0.3453942674513897,30226
mdgnc_edge_failures,B,250,Hierarchical,0.3784610835377077,30226
mdgnc_edge_failures,B,250,KPLS,1.23928357301827,30226
mdgnc_edge_failures,B,250,MG LD-WLOA,0.22641325577873592,30226
mdgnc_edge_failures,B,275,BLR,0.9395950389622272,29381
mdgnc_edge_failures,B,275,ESP,0.3527413596277013,29381
mdgnc_edge_failures,B,275,Hierarchical,0.409484972598272,29381
mdgnc_edge_failures,B,275,KPLS,1.2485843352504233,29381
mdgnc_edge_failures,B,275,MG LD-WLOA,0.23537764827783242,29381
mdgnc_edge_failures,B,300,BLR,0.9087750189250979,28056
mdgnc_edge_failures,B,300,ESP,0.3257409075002515,28056
mdgnc_edge_failures,B,300,Hierarchical,0.39252555582697646,28056
mdgnc_edge_failures,B,300,KPLS,1.2402776677131082,28056
mdgnc_edge_failures,B,300,MG LD-WLOA,0.22748659821408923,28056
mdgnc_edge_failures,T,25,BLR,0.74673910771246,1258
mdgnc_edge_failures,T,25,ESP,0.1502011216509665,1258
mdgnc_edge_failures,T,25,Hierarchical,0.3214664878974655,1258
mdgnc_edge_failures,T,25,KPLS,0.5392218096332861,1258
mdgnc_edge_failures,T,25,MG LD-WLOA,0.21157357646491584,1258
mdgnc_edge_failures,T,50,BLR,0.6571398240146389,1955
mdgnc_edge_failures,T,50,ESP,0.176462609317103,1955
mdgnc_edge_failures,T,50,Hierarchical,0.19347387964497437,1955
mdgnc_edge_failures,T,50,KPLS,0.509330384438637,1955
mdgnc_edge_failures,T,50,MG LD-WLOA,0.1513685634476043,1955
mdgnc_edge_failures,T,75,BLR,0.9294913580436734,2795
mdgnc_edge_failures,T,75,ESP,0.14541617651987343,2795
mdgnc_edge_failures,T,75,Hierarchical,0.15633743401102473,2795
mdgnc_edge_failures,T,75,KPLS,0.6919710990779907,2795
mdgnc_edge_failures,T,75,MG LD-WLOA,0.1237395231767939,2795
mdgnc_edge_failures,T,100,BLR,1.0589884857966223,3369
mdgnc_edge_failures,T,100,ESP,0.146906743193971,3369
mdgnc_edge_failures,T,100,Hierarchical,0.13226391256850645,3369
mdgnc_edge_failures,T,100,KPLS,0.525273902104577,3369
mdgnc_edge_failures,T,100,MG LD-WLOA,0.13212565032284612,3369
mdgnc_edge_failures,T,125,BLR,1.0358918392964496,4977
mdgnc_edge_failures,T,125,ESP,0.14512700822617083,4977
mdgnc_edge_failures,T,125,Hierarchical,0.2495606794512604,4977
mdgnc_edge_failures,T,125,KPLS,0.5044536859674837,4977
mdgnc_edge_failures,T,125,MG LD-WLOA,0.11421437093616865,4977
mdgnc_edge_failures,T,150,BLR,1.128461798049302,5334
mdgnc_edge_failures,T,150,ESP,0.10375577449010381,5334
mdgnc_edge_failures,T,150,Hierarchical,0.13315007461580983,5334
mdgnc_edge_failures,T,150,KPLS,0.43881795043783606,5334
mdgnc_edge_failures,T,150,MG LD-WLOA,0.09063050315154102,5334
mdgnc_edge_failures,T,175,BLR,1.1900509924833549,6296
mdgnc_edge_failures,T,175,ESP,0.11156707331892712,6296
mdgnc_edge_failures,T,175,Hierarchical,0.1484304972759993,6296
mdgnc_edge_failures,T,175,KPLS,0.5025211602026673,6296
mdgnc_edge_failures,T,175,MG LD-WLOA,0.08692619834796797,6296
mdgnc_edge_failures,T,200,BLR,1.18854441970054,6388
mdgnc_edge_failures,T,200,ESP,0.09904019885989923,6388
mdgnc_edge_failures,T,200,Hierarchical,0.13188294168000317,6388
mdgnc_edge_failures,T,200,KPLS,0.45530081356599217,6388
mdgnc_edge_failures,T,200,MG LD-WLOA,0.09788999644602463,6388
mdgnc_edge_failures,T,225,BLR,1.1600880723389875,7500
mdgnc_edge_failures,T,225,ESP,0.1057401323827736,7500
mdgnc_edge_failures,T,225,Hierarchical,0.16361148229625624,7500
mdgnc_edge_failures,T,225,KPLS,0.44360619455718786,7500
mdgnc_edge_failures,T,225,MG LD-WLOA,0.08947662925864341,7500
mdgnc_edge_failures,T,250,BLR,1.175734023356039,8897
mdgnc_edge_failures,T,250,ESP,0.09063482487383194,8897
mdgnc_edge_failures,T,250,Hierarchical,0.13491458886672167,8897
mdgnc_edge_failures,T,250,KPLS,0.3665535103400812,8897
mdgnc_edge_failures,T,250,MG LD-WLOA,0.08462465110311716,8897
mdgnc_edge_failures,T,275,BLR,1.1867418936808805,9623
mdgnc_edge_failures,T,275,ESP,0.09999811655476842,9623
mdgnc_edge_failures,T,275,Hierarchical,0.14618257296716347,9623
mdgnc_edge_failures,T,275,KPLS,0.44119324464153337,9623
mdgnc_edge_failures,T,275,MG LD-WLOA,0.09603024842667328,9623
mdgnc_edge_failures,T,300,BLR,1.2558232079820089,10917
mdgnc_edge_failures,T,300,ESP,0.07844665554680343,10917
mdgnc_edge_failures,T,300,Hierarchical,0.15253201838632605,10917
mdgnc_edge_failures,T,300,KPLS,0.302539400307827,10917
mdgnc_edge_failures,T,300,MG LD-WLOA,0.07127670300387925,10917
