n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,run,seed,runtime_sec
135,0.3616233923093652,0.5521402739070178,42.71712901923996,27.977515562025083,7.001741540468795,6.64011814815943,135,7.001741540468795,75.0,38.4012859959621,30.16845292499056,76.96556025778409,31730,0.0024256400963688,10,2010,3499.2292869091034
145,0.3616233923093652,0.5521402739070178,48.23853175831013,31.59374948511873,7.001741540468795,6.64011814815943,145,7.001741540468795,85.0,48.91640824399656,31.837239395012148,92.19739163987106,35875,0.002569962136303,10,2010,3499.2292869091034
155,0.3616233923093652,0.5521402739070178,53.75993449738031,35.20998340821239,7.001741540468795,6.64011814815943,155,7.001741540468795,90.0,53.43906291696476,41.585935414012056,112.9461016873247,41539,0.0027190375716152,10,2010,3499.2292869091034
165,0.1484427579166363,0.2266480176854479,57.65387595534264,37.76031415934239,6.788560906076066,6.64011814815943,165,6.788560906076066,94.0,55.14644538098946,30.7187712439918,129.62235574540682,46359,0.0027960559059817,10,2010,3499.2292869091034
175,0.1484427579166363,0.2266480176854479,59.92035613219712,39.24474173850876,6.788560906076066,6.64011814815943,175,6.788560906076066,100.0,65.50917574897176,28.3234447829891,146.8113627663115,51645,0.0028427023480745,10,2010,3499.2292869091034
185,0.1484427579166363,0.2266480176854479,62.18683630905159,40.72916931767512,6.788560906076066,6.64011814815943,185,6.788560906076066,110.0,74.49127898103325,35.60632851603441,167.22457440325525,57091,0.0029290881995981,10,2010,3499.2292869091034
195,0.1484427579166363,0.2266480176854479,64.45331648590607,42.21359689684149,6.788560906076066,6.64011814815943,195,6.788560906076066,120.0,85.63498879503459,36.32641897001304,188.66345378849653,62527,0.0030173117819261,10,2010,3499.2292869091034
205,0.1484427579166363,0.2266480176854479,66.71979666276056,43.69802447600785,6.788560906076066,6.64011814815943,205,6.788560906076066,130.0,99.19936975900782,44.13000812102109,213.65555493853756,68132,0.003135906107828,10,2010,3499.2292869091034
215,0.1484427579166363,0.2266480176854479,68.98627683961504,45.18245205517422,6.788560906076066,6.64011814815943,215,6.788560906076066,138.0,108.35558181698434,42.75764594797511,238.78793391323416,73677,0.0032410105448543,10,2010,3499.2292869091034
225,0.1484427579166363,0.2266480176854479,71.25275701646953,46.66687963434058,6.788560906076066,6.64011814815943,225,6.788560906076066,148.0,140.41644188103965,37.70835269498639,262.7557815691689,79068,0.0033231621081748,10,2010,3499.2292869091034
235,0.1484427579166363,0.2266480176854479,73.51923719332402,48.15130721350695,6.788560906076066,6.64011814815943,235,6.788560906076066,158.0,147.4158732429496,49.804149472969584,291.98038820765214,84727,0.0034461315543764,10,2010,3499.2292869091034
245,0.1484427579166363,0.2266480176854479,75.7857173701785,49.63573479267331,6.788560906076066,6.64011814815943,245,6.788560906076066,165.0,147.5121617060504,39.21096978400601,318.7718857275904,90062,0.003539471538802,10,2010,3499.2292869091034
255,0.1484427579166363,0.2266480176854479,78.05219754703299,51.12016237183968,6.788560906076066,6.64011814815943,255,6.788560906076066,175.0,171.8671629349701,59.69936852203682,353.1973822567379,95906,0.0036827454200648,10,2010,3499.2292869091034
265,0.1484427579166363,0.2266480176854479,80.31867772388748,52.60458995100604,6.788560906076066,6.64011814815943,265,6.788560906076066,185.0,195.87501363799677,47.81682807795005,383.7661344081862,101433,0.0037834445832045,10,2010,3499.2292869091034
