n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_tsfc.graph_0.esp_semantic_type,kernel_weight.f0_tsfc.sizing,kernel_weight.g0_jet_mach.graph_0.esp_semantic_type,kernel_weight.g0_jet_mach.sizing,kernel_weight.g1_pr.graph_0.esp_semantic_type,kernel_weight.g1_pr.sizing,kernel_weight.g2_pr.graph_0.esp_semantic_type,kernel_weight.g2_pr.sizing,kernel_weight.g3_pr.graph_0.esp_semantic_type,kernel_weight.g3_pr.sizing,kernel_weight.g4_pr_perc_sum.graph_0.esp_semantic_type,kernel_weight.g4_pr_perc_sum.sizing,kernel_diagnostics.f0_tsfc.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g0_jet_mach.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g1_pr.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g2_pr.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g3_pr.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g4_pr_perc_sum.graph_0.esp_semantic_type.sigma,run,seed,runtime_sec
175,0.16321848363177338,0.09853496752925332,57.95496363216564,95.9996387086477,6.803336631791203,6.64011814815943,175,6.803336631791203,104.0,,,100.288284256123,290.4286149283871,2593.614706138149,53770,0.04823534882161333,0.7924544559293275,0.20754554407067255,0.012411603576257011,0.987588396423743,0.8246911203010021,0.17530887969899786,0.4614817725734189,0.5385182274265811,0.26514342365764954,0.7348565763423505,0.835513513051409,0.1644864869485909,20.000000000000004,19.99999999999996,19.051571274209707,18.690538555200717,0.00014134248896431704,0.013811465248878586,1,53,9348.173952817917
185,0.16321848363177338,0.09853496752925332,58.94031330745817,97.63182354496543,6.803336631791203,6.64011814815943,185,6.803336631791203,114.0,,,108.99634040053934,241.9825682984665,2826.2382666915655,58985,0.04791452516218641,0.07103719269649128,0.9289628073035087,0.06952111796385753,0.9304788820361425,0.24326089444154286,0.756739105558457,0.06694672728280025,0.9330532727171997,0.5507577162654712,0.44924228373452874,0.4171105637142851,0.5828894362857148,10.04100607921452,19.999999999999993,0.0009415937927527205,12.680586610288668,0.00021343687071206718,0.002422543804969769,1,53,9348.173952817917
195,0.16321848363177338,0.09853496752925332,59.9256629827507,99.26400838128316,6.803336631791203,6.64011814815943,195,6.803336631791203,116.0,,,110.34637934342027,262.6581526584923,3075.4350424641743,64366,0.04778042821465019,0.7472003727335671,0.2527996272664329,0.02667414193029324,0.9733258580697067,0.823939798493999,0.17606020150600105,0.6424022238977368,0.35759777610226323,0.7323003712715975,0.2676996287284025,0.37380472606753945,0.6261952739324604,0.00011920167028041558,20.000000000000004,0.00017165168501664436,20.000000000000025,0.00047223382560598876,0.02821445264911469,1,53,9348.173952817917
205,0.16321848363177338,0.09853496752925332,60.911012658043234,100.8961932176009,6.803336631791203,6.64011814815943,205,6.803336631791203,120.0,,,114.73668640572578,287.50334226712584,3349.5172467995435,69747,0.048023818182854366,0.6960907007615879,0.3039092992384121,0.033821046948471836,0.9661789530515281,0.8167031796435608,0.18329682035643916,0.27147531969780364,0.7285246803021964,0.8712236554222257,0.12877634457777434,0.1929361428022913,0.8070638571977087,0.001982836157286375,20.000000000000004,0.0001774239054492292,0.0031384832928335778,0.00023506278237148804,0.0003142991080718016,1,53,9348.173952817917
215,0.16321848363177338,0.09853496752925332,61.896362333335766,102.52837805391863,6.803336631791203,6.64011814815943,215,6.803336631791203,129.0,,,128.19543137867004,296.3515224279836,3629.631386226043,75185,0.04827600433897776,0.19874861570480035,0.8012513842951996,0.010370247820164167,0.9896297521798358,0.8157597986269136,0.1842402013730863,0.20051031684281737,0.7994896831571826,0.22348471204501086,0.7765152879549891,0.8056502659765542,0.19434973402344574,0.00016533424207134246,20.000000000000004,0.00016344544791381112,0.0001288340774988096,0.000282045447745101,0.00011561667059585894,1,53,9348.173952817917
225,0.16321848363177338,0.09853496752925332,62.8817120086283,104.16056289023636,6.803336631791203,6.64011814815943,225,6.803336631791203,139.0,,,128.99124678317457,295.45703639183193,3912.4881351813674,80535,0.04858121481568718,0.86174988261492,0.13825011738508,0.011005753760932168,0.9889942462390678,0.40788720444259563,0.5921127955574045,0.7124733408080282,0.28752665919197185,0.8704443031490449,0.12955569685095525,0.32323822642567457,0.6767617735743254,20.000000000000004,20.000000000000014,19.999999999999993,20.000000000000004,5.363595704057594,0.0001624666087264368,1,53,9348.173952817917
235,0.16223594404157549,0.09794180856550033,63.86409588910207,105.78783502860311,6.802354092201005,6.64011814815943,235,6.802354092201005,146.0,,,134.9809747831896,304.63647394347936,4202.434725967236,85970,0.04888257212943162,0.8887305735704139,0.11126942642958625,0.03286713734408256,0.9671328626559175,0.8171054546082615,0.18289454539173855,0.5821776272061778,0.4178223727938223,0.847472659502587,0.15252734049741298,0.21377531042625594,0.7862246895737441,20.000000000000004,20.000000000000004,20.000000000000004,17.795625118533525,6.280301298876916,0.0011365068527411843,1,53,9348.173952817917
245,0.12354379607575705,0.07458336619661898,64.72672176291266,107.21673372918977,6.763661944235187,6.64011814815943,245,6.763661944235187,156.0,,,142.45127846393734,303.7415126664564,4492.852816605009,91350,0.049182844188341644,0.8691079645335328,0.13089203546646735,0.01227214615177679,0.9877278538482233,0.8132626193399114,0.1867373806600886,0.6956217660751642,0.3043782339248359,0.7723637599788662,0.22763624002113375,0.8244186954711396,0.1755813045288604,20.000000000000014,16.267614876733,20.000000000000004,20.000000000000014,5.930732907432906,0.00039190863707777297,1,53,9348.173952817917
255,0.12354379607575705,0.07458336619661898,65.47255542487885,108.45217168994733,6.763661944235187,6.64011814815943,255,6.763661944235187,166.0,,,151.5755226276815,319.64057987742126,4796.765250218101,96828,0.0495390305512672,0.9039261900547407,0.09607380994525927,0.031835031457692634,0.9681649685423074,0.8311405039755,0.1688594960245,0.6635170130882595,0.33648298691174056,0.8379389123662403,0.16206108763375968,0.8564091927297611,0.14359080727023887,20.000000000000014,20.000000000000004,19.99999999999996,18.80650314848083,6.440871744919092,0.002859420606820284,1,53,9348.173952817917
265,0.12124228812775062,0.07319394628608511,66.21144198729237,109.67610211096488,6.76136043628718,6.64011814815943,265,6.76136043628718,176.0,,,168.57115323003381,273.8330684211105,5062.930555935018,101977,0.049647769162997714,0.8874624589371727,0.11253754106282728,0.0267415462194352,0.9732584537805647,0.8339783206692549,0.16602167933074502,0.8204888607709051,0.17951113922909492,0.8226507447864382,0.17734925521356174,0.31250693223647114,0.6874930677635289,20.000000000000053,20.000000000000004,20.000000000000025,0.01941473705632243,5.339149306274991,0.00012631980410460214,1,53,9348.173952817917
275,0.12124228812775062,0.07319394628608511,66.94338145015323,110.88852499224238,6.76136043628718,6.64011814815943,275,6.76136043628718,184.0,,,164.31920722220093,317.3768571456894,5365.731391787529,107409,0.04995606878182954,0.8672177513651652,0.13278224863483476,0.0327414779829476,0.9672585220170524,0.8240528853444767,0.17594711465552312,0.7969643453020973,0.2030356546979028,0.7323918539037183,0.2676081460962817,0.8998782575312589,0.10012174246874113,20.000000000000004,20.000000000000014,19.999999999999993,20.000000000000004,0.0001000000000000001,20.000000000000004,1,53,9348.173952817917
285,0.12124228812775062,0.07319394628608511,67.67532091301408,112.10094787351989,6.76136043628718,6.64011814815943,285,6.76136043628718,194.0,,,181.50097924657166,329.25768124870956,5680.880430860445,112820,0.05035348724393233,0.8474945458385835,0.1525054541614164,0.012343709434178587,0.9876562905658214,0.7913952176375668,0.20860478236243316,0.7980169933940798,0.20198300660592017,0.8670889305770888,0.13291106942291117,0.7942273669844775,0.2057726330155225,20.000000000000004,16.85937808409021,20.000000000000004,20.000000000000004,6.828454405935985,0.001872474470188308,1,53,9348.173952817917
295,0.12124228812775062,0.07319394628608511,68.40726037587493,113.31337075479739,6.76136043628718,6.64011814815943,295,6.76136043628718,204.0,,,190.18783569149673,318.6917884517461,5987.331325958483,118152,0.05067481994344982,0.8895657488896688,0.11043425111033119,0.03431415355270113,0.9656858464472988,0.8594321319125487,0.14056786808745123,0.7830357686556454,0.2169642313443546,0.787878279277932,0.21212172072206809,0.2805308565507768,0.7194691434492232,20.000000000000004,20.000000000000004,19.999999999999993,20.000000000000004,7.85574297014268,0.00012928045114266233,1,53,9348.173952817917
305,0.12124228812775062,0.07319394628608511,69.13919983873578,114.5257936360749,6.76136043628718,6.64011814815943,305,6.76136043628718,214.0,,,200.97372024692595,315.8304455149919,6290.984860403463,123487,0.05094451124736582,0.2666198014728868,0.7333801985271132,0.012170371872163447,0.9878296281278366,0.8719890818649088,0.12801091813509127,0.8320760844325401,0.1679239155674598,0.7894416626710317,0.2105583373289683,0.35944388347853745,0.6405561165214625,0.00011013024144380477,20.000000000000004,0.0003685008567547539,0.2477732792285063,0.0014657000198992193,0.00010678047729769875,1,53,9348.173952817917
