fit_index,output,epoch,mse,rmse,mse_scaled,rmse_scaled
2,f1_mass,4,0.16473031975328922,0.4058698310459761,0.16473031975328922,0.4058698310459761
2,f1_mass,5,0.14354155771434307,0.3788687869359827,0.14354155771434307,0.3788687869359827
2,f1_mass,6,0.05958971683867276,0.24411005067115274,0.05958971683867276,0.24411005067115274
2,f1_mass,7,0.07517940877005458,0.2741886372008413,0.07517940877005458,0.2741886372008413
2,f1_mass,8,0.018788323737680912,0.13707050644715993,0.018788323737680912,0.13707050644715993
2,f1_mass,9,0.030776299070566893,0.1754317504631556,0.030776299070566893,0.1754317504631556
2,f1_mass,10,0.00975903868675232,0.09878784685755794,0.00975903868675232,0.09878784685755794
3,f0_failure_rate,1,0.7748139381408692,0.8802351607047229,0.7748139381408692,0.8802351607047229
3,f0_failure_rate,2,0.3098836660385132,0.5566719554984904,0.3098836660385132,0.5566719554984904
3,f0_failure_rate,3,0.2541984859853983,0.5041810051810741,0.2541984859853983,0.5041810051810741
3,f0_failure_rate,4,0.16470106244087218,0.4058337867167693,0.16470106244087218,0.4058337867167693
3,f0_failure_rate,5,0.0764875639230013,0.27656385143941226,0.0764875639230013,0.27656385143941226
3,f0_failure_rate,6,0.056998128443956374,0.23874280815127474,0.056998128443956374,0.23874280815127474
3,f0_failure_rate,7,0.027310970053076745,0.1652603099751321,0.027310970053076745,0.1652603099751321
3,f0_failure_rate,8,0.024536577612161638,0.15664155774302566,0.024536577612161638,0.15664155774302566
3,f0_failure_rate,9,0.013817539066076278,0.11754802876303914,0.013817539066076278,0.11754802876303914
3,f0_failure_rate,10,0.012910149432718754,0.11362283851725741,0.012910149432718754,0.11362283851725741
3,f1_mass,1,0.41959518790245054,0.6477616752343801,0.41959518790245054,0.6477616752343801
3,f1_mass,2,0.13539374768733978,0.36795889401853,0.13539374768733978,0.36795889401853
3,f1_mass,3,0.07896969467401505,0.28101547052433795,0.07896969467401505,0.28101547052433795
3,f1_mass,4,0.0696533478796482,0.2639192071063571,0.0696533478796482,0.2639192071063571
3,f1_mass,5,0.05643829070031643,0.23756744452958287,0.05643829070031643,0.23756744452958287
3,f1_mass,6,0.03842353355139494,0.1960192173012507,0.03842353355139494,0.1960192173012507
3,f1_mass,7,0.01802300103008747,0.1342497710615831,0.01802300103008747,0.1342497710615831
3,f1_mass,8,0.015713253803551198,0.12535251813805418,0.015713253803551198,0.12535251813805418
3,f1_mass,9,0.0073607103433459995,0.08579458224938215,0.0073607103433459995,0.08579458224938215
3,f1_mass,10,0.003988168807700277,0.06315195014962148,0.003988168807700277,0.06315195014962148
4,f0_failure_rate,1,0.9739246418078741,0.9868762038917921,0.9739246418078741,0.9868762038917921
4,f0_failure_rate,2,0.34254638602336246,0.5852746244485254,0.34254638602336246,0.5852746244485254
4,f0_failure_rate,3,0.10319557227194309,0.3212406765525547,0.10319557227194309,0.3212406765525547
4,f0_failure_rate,4,0.08832008407140772,0.29718695138146245,0.08832008407140772,0.29718695138146245
4,f0_failure_rate,5,0.05316482298076153,0.23057498342353086,0.05316482298076153,0.23057498342353086
4,f0_failure_rate,6,0.037599405429015555,0.1939056611577278,0.037599405429015555,0.1939056611577278
