n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_failure_rate.graph_0.esp_semantic_type,kernel_weight.f0_failure_rate.sizing,kernel_weight.f1_mass.graph_0.esp_semantic_type,kernel_weight.f1_mass.sizing,kernel_diagnostics.f0_failure_rate.graph_0.esp_semantic_type.sigma,kernel_diagnostics.f1_mass.graph_0.esp_semantic_type.sigma,run,seed,runtime_sec
60,0.433772625898543,0.3708518846470782,0.6549522358144216,0.7633195999133731,26.00637603806494,14.778677274128174,2.9460981244503484,0.6045913474811574,60,-3.7457404844988935,50.0,,,16.478513882495463,79.94613691791892,167.12295809853822,13160,0.0126993129254208,0.8922270990628557,0.1077729009371442,0.0345245720815236,0.9654754279184764,8.726019411637944,20.000000000000004,1,53,1584.5812344551086
70,0.4290686883315039,0.3739327390737418,0.6549522358144216,0.7550419735088668,33.59818390517614,19.092883845278408,2.9405597784196904,0.6455303392870432,70,-3.7457404844988935,60.0,,,19.49386879429221,75.61944743338972,238.76345182955265,18526,0.0128880196388617,0.8756284744561114,0.1243715255438885,0.0342146997602958,0.965785300239704,8.972915023640818,20.000000000000004,1,53,1584.5812344551086
80,0.3273502654031485,0.4405534475941852,0.6549522358144216,0.5760457407875057,40.253622476658,22.87497861395167,2.3383939214243585,0.7374764826173763,80,-3.7457404844988935,70.0,,,18.91934032831341,68.86371007934213,303.5384363029152,23803,0.0127521084024247,0.0273239510136524,0.9726760489863476,0.0277639248204946,0.9722360751795054,8.461666265328486,20.000000000000004,1,53,1584.5812344551086
90,0.2218521748801563,0.5096496578563712,0.6549522358144216,0.3903983406482668,45.08584288383686,25.620990815368195,2.375258120528994,0.8660256475429107,90,-3.7457404844988935,80.0,,,21.095629912801087,89.15785580594093,388.69863145053387,29380,0.0132300419145859,0.8289150149909222,0.1710849850090777,0.0109239479273586,0.9890760520726414,10.368585329050177,20.000000000000004,1,53,1584.5812344551086
100,0.2164714616260372,0.5131737680324328,0.6549522358144216,0.3809297766053541,48.94248347010497,27.81260899789916,2.308341623422654,0.9398121863491244,100,-7.097960950345674,90.0,,,22.733456201851368,45.91923904791474,431.2526845065877,33637,0.0128207832002434,0.9127097063040196,0.0872902936959805,0.0107685046535091,0.9892314953464908,13.379701953326247,20.00000000000001,1,53,1584.5812344551086
110,0.2084200445875845,0.5184470616232417,0.6549522358144216,0.3667615140973254,52.68093992361837,29.93706652896727,2.03548262954476,0.9570095538811274,110,-7.841967016859793,100.0,,,24.340612756088376,61.246770141646266,488.4877772498876,38859,0.0125707758112634,0.8311877717262561,0.1688122282737437,0.0110255472535088,0.9889744527464912,9.795153237314992,20.000000000000004,1,53,1584.5812344551086
120,0.2063073647287623,0.5198307660203374,0.6549522358144216,0.36304378308274,56.3299664095187,32.01070357554901,1.46053582837689,0.981937090808863,120,-7.841967016859793,110.0,,,26.288149163126945,51.14156885445118,535.7818041294813,43985,0.0121810118024208,0.7490775201149934,0.2509224798850066,0.0163301034580348,0.9836698965419652,6.579778070471272,20.00000000000001,1,53,1584.5812344551086
130,0.2063073647287623,0.5198307660203374,0.6549522358144216,0.36304378308274,59.960404240346094,34.07377722283663,1.46053582837689,0.981937090808863,130,-7.841967016859793,120.0,,,29.384392249397933,61.562145913019776,593.3933570254594,49363,0.0120210148699523,0.7619670108526931,0.2380329891473068,0.01230700603172,0.98769299396828,5.276805552687838,20.000000000000004,1,53,1584.5812344551086
140,0.202910674804917,0.5220554356803282,0.6549522358144216,0.3570665502217945,63.56095590686876,36.11986742050503,1.514229433686506,0.959990285993794,140,-7.841967016859793,130.0,,,30.14074510056525,71.81570454314351,661.1561935702339,54627,0.0121031027435193,0.8326538189586437,0.1673461810413563,0.0110501323022073,0.9889498676977926,6.524777781815058,20.00000000000001,1,53,1584.5812344551086
150,0.1991663460216567,0.5245077921885488,0.6549522358144216,0.3504775693176586,67.09867650456603,38.130252524637896,1.3379750901493994,1.0006376113315776,150,-7.841967016859793,140.0,,,32.75979547947645,67.826346793212,725.0013989005238,59833,0.0121170825280451,0.8158680781822002,0.1841319218177997,0.0103293188713357,0.9896706811286642,9.74022076611552,20.000000000000004,1,53,1584.5812344551086
