n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_failure_rate.graph_0.ld_wloa_adsg,kernel_weight.f0_failure_rate.sizing,kernel_weight.f0_failure_rate.interaction.graph_0_ld_wloa_adsg_sizing,kernel_weight.f1_mass.graph_0.ld_wloa_adsg,kernel_weight.f1_mass.sizing,kernel_weight.f1_mass.interaction.graph_0_ld_wloa_adsg_sizing,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_adsg.w_0,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_adsg.w_1,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_adsg.w_2,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_adsg.w_3,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_adsg.w_4,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_adsg.w_5,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_adsg.w_6,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_adsg.w_7,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_adsg.w_8,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa_adsg.w_sum,kernel_diagnostics.f1_mass.graph_0.ld_wloa_adsg.w_0,kernel_diagnostics.f1_mass.graph_0.ld_wloa_adsg.w_1,kernel_diagnostics.f1_mass.graph_0.ld_wloa_adsg.w_2,kernel_diagnostics.f1_mass.graph_0.ld_wloa_adsg.w_3,kernel_diagnostics.f1_mass.graph_0.ld_wloa_adsg.w_4,kernel_diagnostics.f1_mass.graph_0.ld_wloa_adsg.w_5,kernel_diagnostics.f1_mass.graph_0.ld_wloa_adsg.w_6,kernel_diagnostics.f1_mass.graph_0.ld_wloa_adsg.w_7,kernel_diagnostics.f1_mass.graph_0.ld_wloa_adsg.w_8,kernel_diagnostics.f1_mass.graph_0.ld_wloa_adsg.w_sum,run,seed,runtime_sec
160,0.1608153488650275,0.5496258635219956,0.6549522358144216,0.2495694707541131,59.19044405663477,38.14061023442204,1.2162377803329716,1.020889940468995,160,-7.198086024806798,150.0,,,74.40294721908867,97.72047273349015,1001.9781452482566,56331,0.0177873310477047,0.0065527906052344,0.3881079935103195,0.6053392158844462,0.0177345992407219,0.460059520167304,0.5222058805919739,0.730950536458777,0.9212354787375636,0.8896802572831339,1.2529111555738804e-19,0.0,0.1144509680192672,0.0,0.0,0.0,2.6563172404987414,0.922109941562094,0.9999999999999856,5.744016373654405e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.922109941562137,0,52,2594.816667079925
170,0.144145359202473,0.560543910522489,0.6549522358144216,0.2236993002329396,61.556787911570034,39.66541377475954,1.1787425201463642,0.9709275483762992,170,-7.198086024806798,160.0,,,74.01290655974299,189.29950249101967,1187.2637331103906,62102,0.0191179629176256,0.0065021492209271,0.3960248697008727,0.5974729810782,0.0066054378751877,0.3962100818472833,0.5971844802775289,0.8495864946370715,0.9646633627779324,0.9090806726097136,0.0,0.0013515514151149,0.1102716784714667,0.0,0.0,0.0,2.8349537599112997,0.9878080009829722,0.865221481834492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.853029482817464,0,52,2594.816667079925
180,0.1436778528365336,0.5608501048621185,0.6549522358144216,0.2229737767232427,63.790153296350944,41.104529834954576,1.011589250014403,1.080561328737533,180,-7.198086024806798,170.0,,,75.72455216478556,55.5359353562817,1240.320242810063,64741,0.0191581878996318,0.0065568487773276,0.3955314542141191,0.5979116970085534,0.0065987511398514,0.3957332092005175,0.5976680396596311,0.9916956140769636,0.9735890102077394,0.8673263505228382,0.0,0.117724289404517,0.0682901488778573,0.0,0.0,0.0,3.018625413089916,0.7048760394416,0.0048920431932781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7097680826348782,0,52,2594.816667079925
190,0.1436028539534928,0.5608992255482497,0.6549522358144216,0.2228573858956273,66.01930910944529,42.54093336890471,0.9802929615516376,1.0579024420911949,190,-7.198086024806798,180.0,,,79.26230404339731,74.18907455913723,1311.158510249108,68889,0.0190329154182686,0.0065705634109063,0.3929989050152972,0.6004305315737964,0.0063934748892016,0.5570627323747412,0.4365437927360572,0.9118975157991084,0.826426306955232,0.8758553759841058,0.0,0.0,0.1231707444964177,0.0,0.0,0.0,2.737349943234864,1.0,0.699285558710849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6992855587108489,0,52,2594.816667079925
200,0.1403850778856485,0.5630067151782344,0.6549522358144216,0.2178637165977349,68.2229146219121,43.960873028100416,0.9132977156697092,1.007207970311893,200,-7.198086024806798,190.0,,,80.76090198010206,110.84061316773295,1418.642289779149,73246,0.0193681878843779,0.0173451447479404,0.4470062137666674,0.5356486414853922,0.0065621795348801,0.6168597287622507,0.3765780917028691,0.6462581092822646,0.9342553556200528,1.0,0.0,0.0,0.1436666531157686,0.0,0.0,0.0,2.724180118018086,0.7528683171980071,0.2805817477924368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.033450064990444,0,52,2594.816667079925
30,0.5682713059480861,0.2827616734345414,0.6549522358144216,1.0,0.0,0.0,3.673599089744762,0.5355154332100325,30,-3.442439242563571,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,53,2567.7875978946686
40,0.515914754607319,0.3170527137947094,0.6549522358144216,0.9078669804497396,9.539334902248696,5.420930302777025,3.516853929398303,0.7601740754627389,40,-3.442439242563571,30.0,,,49.55296174623072,90.79368092957884,86.81878017634153,5282,0.0164367247588681,0.016422201380741,0.6804295775525863,0.3031482210666727,0.0073896922327703,0.5118946470728337,0.4807156606943958,0.9990805008151484,0.3461964755643651,0.0,0.0018578108069895,0.0011484809534345,4.101614224793278e-20,3.5544256635293864e-20,9.709108548335874e-21,0.0,1.3482832681399377,0.8014152991918773,0.8594454550273701,0.0121435868067368,0.0004533568288807,0.0,0.0,0.0,1.0550701670794265e-20,3.290414283023505e-20,1.6734576978548652,1,53,2567.7875978946686
50,0.3690452820777038,0.4132452032008656,0.6549522358144216,0.6494174142085183,17.325756875539987,9.84573048620214,3.4762712963010087,0.9300964941347022,50,-3.442439242563571,40.0,,,49.86168786138296,99.0791232837364,181.9137331834063,10596,0.0171681514895626,0.0164135804853629,0.6792859642052631,0.3043004553093739,0.0064187635860699,0.5424593142111847,0.4511219222027453,1.0,0.9923116776329703,2.332817516756329e-16,0.0,0.0,0.0833382663192934,0.0,0.0,0.0,2.075649943952264,0.9977865757430652,0.6232815144425815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.621068090185647,1,53,2567.7875978946686
60,0.3556626390550218,0.4220101951696774,0.6549522358144216,0.6258676715370054,23.702182304267605,13.469270091865768,3.41395314783605,0.991503063680278,60,-3.442439242563571,50.0,,,52.56530098244548,72.58923270646483,250.52567504812032,15788,0.0158681071097111,0.0535610055302414,0.7977714946705509,0.1486674997992077,0.0073206791113258,0.5231174314642345,0.4695618894244396,0.8846718544233827,0.9895239183609492,0.0,0.0,0.0,0.0758420038690559,0.0,0.0,0.0,1.950037776653388,0.9856615273488772,0.6005960402880788,0.0,0.0032382683585961,0.0009326165551433,0.0,0.0,0.0,0.0,1.590428452550695,1,53,2567.7875978946686
70,0.3426935471881564,0.4305043308843636,0.6549522358144216,0.6030456642825159,29.846748983365213,16.96105102308166,3.233496625648836,0.9743467501657884,70,-3.442439242563571,60.0,,,52.84328594151884,69.82928857207298,316.4429064849392,20980,0.015083074665631,0.0064991050361731,0.4015820006043408,0.5919188943594861,0.0063565578484849,0.5365430252279665,0.4571004169235487,1.0,0.9792952218693182,0.0703870406895832,0.0,0.0390243700575234,0.0,0.0,0.0,0.0210415080202422,2.1097481406366665,1.0,0.7834264738392432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7834264738392434,1,53,2567.7875978946686
