n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_tsfc.graph_0.esp_semantic_type,kernel_weight.f0_tsfc.sizing,kernel_weight.f0_tsfc.interaction.graph_0_esp_semantic_type_sizing,kernel_weight.g0_jet_mach.graph_0.esp_semantic_type,kernel_weight.g0_jet_mach.sizing,kernel_weight.g0_jet_mach.interaction.graph_0_esp_semantic_type_sizing,kernel_weight.g1_pr.graph_0.esp_semantic_type,kernel_weight.g1_pr.sizing,kernel_weight.g1_pr.interaction.graph_0_esp_semantic_type_sizing,kernel_weight.g2_pr.graph_0.esp_semantic_type,kernel_weight.g2_pr.sizing,kernel_weight.g2_pr.interaction.graph_0_esp_semantic_type_sizing,kernel_weight.g3_pr.graph_0.esp_semantic_type,kernel_weight.g3_pr.sizing,kernel_weight.g3_pr.interaction.graph_0_esp_semantic_type_sizing,kernel_weight.g4_pr_perc_sum.graph_0.esp_semantic_type,kernel_weight.g4_pr_perc_sum.sizing,kernel_weight.g4_pr_perc_sum.interaction.graph_0_esp_semantic_type_sizing,kernel_diagnostics.f0_tsfc.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g0_jet_mach.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g1_pr.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g2_pr.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g3_pr.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g4_pr_perc_sum.graph_0.esp_semantic_type.sigma,run,seed,runtime_sec
175,0.6070418167963068,0.2346284362895016,36.1263605957844,93.46783329896289,7.2471599649557366,6.64011814815943,175,7.2471599649557366,79.0,,,90.3870086921379,241.66784542240202,2421.3671642690897,52930,0.045746592939147734,0.009260474971960161,0.6805601333334923,0.31017939169454756,0.00915564444172257,0.5121852329322769,0.4786591226260005,0.0061172568600766485,0.3826260996683344,0.6112566434715889,0.006128503528496702,0.3844836809041622,0.6093878155673412,0.00912799532780902,0.6883316592837941,0.3025403453883968,0.009153206219089645,0.6783903305475221,0.3124564632333883,8.422581389784701,19.999999999999993,16.40122240366381,14.521170675601578,20.000000000000004,5.741830551661834,3,55,8461.126234054565
185,0.5984058627664757,0.2312905436866808,38.45595549566531,99.4950716967768,7.2385240109259055,6.64011814815943,185,7.2385240109259055,84.0,,,99.73862863518298,245.4649848761037,2657.515798948705,58141,0.04570811989729632,0.5986672864464744,0.37955866110052433,0.0217740524530012,0.24287364832006605,0.7539576320036949,0.00316871967623897,0.37512925921615115,0.0037512925921615106,0.6211194481916873,0.021151503118088465,0.3942394486329296,0.5846090482489819,0.020664244777492458,0.41812357732993644,0.561212177892571,0.014009190037266382,0.05012643845696159,0.9358643715057721,16.00856579126235,20.000000000000004,20.000000000000004,15.744164747822891,0.046704638098004354,9.245824045639665,3,55,8461.126234054565
195,0.5984058627664757,0.2312905436866808,40.768860932532114,105.47913032444156,7.2385240109259055,6.64011814815943,195,7.2385240109259055,94.0,,,101.77133759576827,253.99068432766944,2900.0815508542582,63386,0.045752714335251604,0.009304548849512763,0.6784813093975919,0.3122141417528954,0.009161599983172744,0.5210284254712955,0.4698099745455318,0.009141915745139124,0.5279693275221334,0.46288875673272745,0.02044032780357443,0.3910147788013774,0.5885448933950482,0.0073811142121040455,0.3545368186587023,0.6380820671291936,0.009325977548411916,0.6709529568846775,0.31972106556691055,8.609190961249487,20.000000000000004,15.267544677989072,14.821788689179597,0.00043606643870221413,7.122035995097566,3,55,8461.126234054565
205,0.5922245892866185,0.22890141250868273,43.06982071350893,111.43228258470702,7.232342737446048,6.64011814815943,205,7.232342737446048,101.0,,,107.76697363425046,283.6643705377355,3170.988888432272,68737,0.04613219792007611,0.006125860288154861,0.38319166349118583,0.6106824762206593,0.009075020716999406,0.5284927213755748,0.46243225790742587,0.006118701075354105,0.38224361664681317,0.6116376822778327,0.013658500295371644,0.31000713837751753,0.6763343613271109,0.0063309697087097295,0.36395083368055275,0.6297181966107376,0.009150364186309639,0.6624523839168248,0.3283972518968655,14.78746364188436,20.000000000000004,14.077967210786122,13.458397479321278,5.5517782164637115,5.876600318891134,3,55,8461.126234054565
215,0.5875329782911347,0.22708805250432845,45.349768038573984,117.33107042259579,7.2276511264505645,6.64011814815943,215,7.2276511264505645,108.0,,,115.95466692000628,272.405962058343,3432.12999925483,74028,0.0463625925224892,0.009320929000007208,0.6789558012902623,0.3117232697097304,0.011289468044278685,0.9631586504832055,0.02555188147251594,0.009460569622118133,0.6648375445493658,0.32570188582851606,0.006146422436866199,0.3795722204169015,0.6142813571462322,0.00933306744488383,0.6760447619223792,0.31462217063273706,0.009209630470296454,0.5192055333002366,0.47158483622946695,9.478251646755883,0.0006252395190495409,14.24249982166523,14.236338296954978,5.184544756278845,7.365548952741745,3,55,8461.126234054565
225,0.5875329782911347,0.22708805250432845,47.620648563617266,123.20640020550714,7.2276511264505645,6.64011814815943,225,7.2276511264505645,112.0,,,121.15331865940243,267.1925850305706,3686.8841515854,79363,0.04645595745606139,0.009320820245189609,0.6792176738976525,0.3114615058571579,0.011158850476840357,0.9887295610183912,0.00011158850476840352,0.009152912006826547,0.52199526075399,0.4688518272391834,0.009037926080092,0.5139406763332326,0.47702139758667544,0.006232947308137233,0.37233475749543515,0.6214322951964277,0.009130279921285895,0.6823724936758362,0.3084972264028779,12.557184166797436,0.02967693860796363,15.036229979745078,12.364926335337133,5.527678033440145,6.801196116696692,3,55,8461.126234054565
235,0.5875329782911347,0.22708805250432845,49.89152908866055,129.0817299884185,7.2276511264505645,6.64011814815943,235,7.2276511264505645,117.0,,,129.32850015629083,266.70936582703143,3943.917408994399,84592,0.04662281786687156,0.01350715893615932,0.059282899437966406,0.9272099416258742,0.011046547367491695,0.9888429871588333,0.00011046547367491663,0.0135876809203779,0.0626779143247428,0.9237344047548792,0.01368061422526587,0.04127033484319859,0.9450490509315356,0.013623896360711115,0.07290561434968953,0.9134704892895994,0.01318245758963123,0.0651918619640391,0.9216256804463298,20.000000000000004,0.0001436407557962336,18.55557297220156,17.29039894912874,8.49474592499839,10.63147348897756,3,55,8461.126234054565
245,0.5760344245583022,0.22264373317199063,52.14018801704214,134.89956700266566,7.216152572717732,6.64011814815943,245,7.216152572717732,120.0,,,135.13442329410464,264.5282840458676,4197.669635467231,89863,0.04671187958856517,0.013351655733573194,0.06361188549922803,0.9230364587671989,0.011182614927843306,0.9887055589228783,0.00011182614927843275,0.013372915502565193,0.06999020671508867,0.9166368777823461,0.009028866313055592,0.5179833319382315,0.47298780174871297,0.01346996011250584,0.07935780553790396,0.9071722343495903,0.006061233255593687,0.39628424815315855,0.5976545185912477,20.000000000000004,0.000302106397707064,17.36875374907962,12.767149115417718,7.003353106284577,8.522044111353793,3,55,8461.126234054565
255,0.5760344245583022,0.22264373317199063,54.36662534876205,140.65991124824868,7.216152572717732,6.64011814815943,255,7.216152572717732,128.0,,,134.49208313878626,234.11639478150755,4423.450212796219,95035,0.04654548548215098,0.01362427156659644,0.05235794614330209,0.9340177822901016,0.009210569167137563,0.5241108221176822,0.46667860871518024,0.006230479961970539,0.37346233629396497,0.6203071837440646,0.013167818644332937,0.06685236134216353,0.9199798200135035,0.013780104520425291,0.05119596866740642,0.9350239268121683,0.009401171440908719,0.6740405544903028,0.31655827406878856,16.243340555186116,20.000000000000004,15.697402342498249,16.38146705412464,7.971377267224104,6.614883641002748,3,55,8461.126234054565
265,0.5760344245583022,0.22264373317199063,56.59306268048196,146.4202554938317,7.216152572717732,6.64011814815943,265,7.216152572717732,136.0,,,141.46219488140196,247.6649240627885,4661.215512945317,100270,0.04648664119821798,0.006134292119075067,0.3896401729074832,0.6042255349734417,0.011117627656349023,0.9887711960670874,0.00011117627656349031,0.00610334290253012,0.3911017404646444,0.6027949166328254,0.0061138437355454595,0.38673530351608687,0.6071508527483678,0.006149055753329683,0.3949357512574254,0.5989151929892449,0.014144392918521143,0.045752888036441994,0.940102719045037,20.000000000000004,0.0006990390390141149,15.26260513951649,10.338088444892298,5.927785018913191,11.052150060258043,3,55,8461.126234054565
275,0.5760344245583022,0.22264373317199063,58.819500012201864,152.1805997394147,7.216152572717732,6.64011814815943,275,7.216152572717732,141.0,,,145.97139302734286,240.95965819247067,4893.212934591807,105466,0.04639611756008389,0.006146077915643278,0.38390988965443906,0.6099440324299177,0.009339046304748978,0.6777981395327429,0.3128628141625081,0.006144676885221792,0.38505500995623015,0.608800313158548,0.009230524804987228,0.5138667731260043,0.47690270206900853,0.006120927927404828,0.3821839116455958,0.6116951604269993,0.009221693921826153,0.668184315392604,0.3225939906855699,20.000000000000014,20.000000000000004,14.409615125053456,10.704359498547294,6.18434112535301,5.503391653533854,3,55,8461.126234054565
285,0.5332362344929731,0.20610175511841192,60.96322745365388,157.72695303467108,7.173354382652403,6.64011814815943,285,7.173354382652403,144.0,,,149.78827182017267,288.2350472211838,5169.810308068991,110774,0.046669889216503786,0.9045617488416585,0.08639263366992489,0.009045617488416586,0.1918915514804053,0.8061895330047907,0.0019189155148040607,0.3118884421076346,0.003221981174217625,0.6848895767181478,0.009062850238229577,0.5117465925449505,0.47919055721682,0.014220789034100088,0.329227879959603,0.6565513310062968,0.013790878609608672,0.05247901530809215,0.9337301060822992,20.000000000000004,20.000000000000025,17.69139969549188,9.224532865753176,0.001158900680185781,9.4135780766916,3,55,8461.126234054565
295,0.4806565109724419,0.18577910523036284,62.92263175539775,162.79641676199816,7.120774659131872,6.64011814815943,295,7.120774659131872,153.0,,,158.6960087204352,266.9610461741686,5428.712621592917,115938,0.0468242735047432,0.014181833238020802,0.04914051006397332,0.936677656698006,0.01154394199222232,0.9883406185878554,0.0001154394199222233,0.014216323181822484,0.06518736473300106,0.9205963120851764,0.014216174172014304,0.025436475635224366,0.9603473501927613,0.006159810584122751,0.38095567402919606,0.6128845153866812,0.009410554247799158,0.5198165513846668,0.4707728943675341,20.000000000000004,0.0004363800644228203,17.375751069102254,13.415545331479407,5.90269198296613,6.889381467443783,3,55,8461.126234054565
305,0.2188335604725289,0.08458161312890615,64.2744353471941,166.29386711922302,6.858951708631959,6.64011814815943,305,6.858951708631959,163.0,,,169.0224943878129,309.2883231770247,5719.285279914737,121531,0.04706029967592414,0.009286146306828813,0.6880916873984986,0.30262216629467265,0.009307301027216225,0.6731447873606332,0.3175479116121506,0.009053165050232207,0.5253883556988558,0.46555847925091204,0.01439743305809004,0.025177831780899895,0.96042473516101,0.012928383000330137,0.33237247388836777,0.6546991431113022,0.00939902964719872,0.6828778999572753,0.307723070395526,19.99999999999996,20.000000000000004,13.746384254793062,14.313059153711063,5.984491899186651,6.935928844208389,3,55,8461.126234054565
