problem,model,cv_folds,fold,budget,fit_sec,predict_train_sec,predict_test_sec,predict_test_sec_per_point,n_train,n_test
mdgnc,BLR,10,5,100,0.0211762571707367,0.0021151835098862,0.0853826152160763,1.8973914492461415e-05,100,4500
mdgnc,BLR,10,5,125,0.0208107093349099,0.0024323593825101,0.0846760915592312,1.881690923538473e-05,125,4500
mdgnc,BLR,10,5,150,0.0182188404724001,0.002928196452558,0.0853492924943566,1.896650944319036e-05,150,4500
mdgnc,BLR,10,5,175,0.0212906394153833,0.0033972403034567,0.0850398372858762,1.8897741619083617e-05,175,4500
mdgnc,BLR,10,5,200,0.0195118272677063,0.0038468539714813,0.0847666040062904,1.8837023112508987e-05,200,4500
mdgnc,BLR,10,5,225,0.0211439384147524,0.004289056174457,0.0847271559759974,1.882825688355499e-05,225,4500
mdgnc,BLR,10,5,250,0.02138577029109,0.0047419993206858,0.0845879632979631,1.8797325177325144e-05,250,4500
mdgnc,BLR,10,5,275,0.0215496039018034,0.0052264919504523,0.0848256386816501,1.885014192925559e-05,275,4500
mdgnc,BLR,10,5,300,0.0219362890347838,0.0056548146530985,0.0842237155884504,1.8716381241877875e-05,300,4500
mdgnc,BLR,10,6,25,0.0221870578825473,0.000572039745748,0.0847566053271293,1.8834801183806526e-05,25,4500
mdgnc,BLR,10,6,50,0.0246451450511813,0.0010417317971587,0.084677661769092,1.8817258170909357e-05,50,4500
mdgnc,BLR,10,6,75,0.0227451212704181,0.0015111016109585,0.0845761680975556,1.879470402167903e-05,75,4500
mdgnc,BLR,10,6,100,0.0242440616711974,0.0019866870716214,0.0849702255800366,1.8882272351119254e-05,100,4500
mdgnc,BLR,10,6,125,0.0246757408604025,0.0024852426722645,0.0847051730379462,1.8823371786210277e-05,125,4500
mdgnc,BLR,10,6,150,0.0236252546310424,0.0031768064945936,0.0850727288052439,1.890505084560977e-05,150,4500
mdgnc,BLR,10,6,175,0.0217297486960887,0.0034067137166857,0.0846413727849721,1.880919395221604e-05,175,4500
mdgnc,BLR,10,6,200,0.0237055588513612,0.0038933902978897,0.0849586259573698,1.887969465719329e-05,200,4500
mdgnc,BLR,10,6,225,0.021646162495017,0.0043220855295658,0.0851304149255156,1.891786998344792e-05,225,4500
mdgnc,BLR,10,6,250,0.022643968462944,0.0049552479758858,0.0848369114100933,1.885264698002073e-05,250,4500
mdgnc,BLR,10,6,275,0.0216824589297175,0.0052480590529739,0.0848592780530452,1.8857617345121173e-05,275,4500
mdgnc,BLR,10,6,300,0.0203595790080726,0.0056899962946772,0.0843164161778986,1.8736981372866365e-05,300,4500
mdgnc,BLR,10,7,25,0.0242706472054123,0.0005754251033067,0.0849812617525458,1.8884724833899076e-05,25,4500
mdgnc,BLR,10,7,50,0.0210247049108147,0.0010345168411731,0.0847685937769711,1.883746528377136e-05,50,4500
mdgnc,BLR,10,7,75,0.021327321883291,0.0015267701819539,0.0845849802717566,1.879666228261259e-05,75,4500
mdgnc,BLR,10,7,100,0.0209299717098474,0.001997590996325,0.0851308829151094,1.891797398113542e-05,100,4500
mdgnc,BLR,10,7,125,0.0232979273423552,0.002481460571289,0.0853645899333059,1.8969908874067997e-05,125,4500
mdgnc,BLR,10,7,150,0.0203182459808886,0.0029580686241388,0.0848335190676152,1.8851893126136727e-05,150,4500
mdgnc,BLR,10,7,175,0.021370368078351,0.0033753030002117,0.0846264231950044,1.8805871821112106e-05,175,4500
mdgnc,BLR,10,7,200,0.0203551966696977,0.0038881846703588,0.0851362189278006,1.891915976173348e-05,200,4500
mdgnc,BLR,10,7,225,0.020351302344352,0.0045415670610964,0.0846408158540725,1.8809070189793904e-05,225,4500
mdgnc,BLR,10,7,250,0.0221701012924313,0.0047480189241468,0.0842456999234855,1.872126664966345e-05,250,4500
mdgnc,BLR,10,7,275,0.0140211256220936,0.005449085496366,0.0844717510044574,1.8771500223212773e-05,275,4500
mdgnc,BLR,10,7,300,0.0141777554526925,0.0056864963844418,0.0848065661266446,1.8845903583698803e-05,300,4500
mdgnc,BLR,10,8,25,0.0170116154477,0.0013700649142265,0.0868076914921403,1.929059810936451e-05,25,4500
mdgnc,BLR,10,8,50,0.0130423223599791,0.0010368796065449,0.0851844903081655,1.89298867351479e-05,50,4500
mdgnc,BLR,10,8,75,0.0145850600674748,0.0016673523932695,0.084179732017219,1.870660711493757e-05,75,4500
mdgnc,BLR,10,8,100,0.0100322077050805,0.0019624251872301,0.0845552934333682,1.879006520741516e-05,100,4500
mdgnc,BLR,10,8,125,0.0070697711780667,0.0024304958060383,0.08488729596138,1.8863843546973333e-05,125,4500
mdgnc,BLR,10,8,150,0.0092627024278044,0.0029453532770276,0.0849910657852888,1.888690350784196e-05,150,4500
mdgnc,BLR,10,8,175,0.0083665559068322,0.0034119132906198,0.0849745227023959,1.888322726719909e-05,175,4500
mdgnc,BLR,10,8,200,0.0069307163357734,0.0039297211915254,0.0848656659945845,1.885903688768546e-05,200,4500
mdgnc,BLR,10,8,225,0.006793649867177,0.0042939260601997,0.0848094336688518,1.884654081530041e-05,225,4500
mdgnc,BLR,10,8,250,0.0093275066465139,0.0047558927908539,0.085826251655817,1.907250036795934e-05,250,4500
mdgnc,BLR,10,8,275,0.0078797210007905,0.0052278023213148,0.0842594467103481,1.8724321491188477e-05,275,4500
mdgnc,BLR,10,8,300,0.0086372513324022,0.0056853471323847,0.0843356680124998,1.874125955833329e-05,300,4500
mdgnc,BLR,10,9,25,0.0084078125655651,0.0005987184122204,0.0846851812675595,1.8818929170568783e-05,25,4500
mdgnc,BLR,10,9,50,0.0102350367233157,0.0011277683079242,0.0847378280013799,1.8830628444751104e-05,50,4500
