problem,model,cv_folds,fold,budget,split,target,rmse,nrmse,mae,r2,n_valid
mdgnc,ESP,10,1,25,test,f1,3.070664672034179,0.2693366860234118,2.4465519419613564,0.927457749561926,4500
mdgnc,ESP,10,1,50,train,f0,1.9253964887137358e-13,9.051816211206524e-14,1.450928266422125e-13,1.0,50
mdgnc,ESP,10,1,50,train,f1,2.047258832920904e-12,1.9349127944296122e-13,1.582094455443439e-12,1.0,50
mdgnc,ESP,10,1,50,test,f0,0.514430133082317,0.2652987771816101,0.298272322515293,0.9296165588259424,4500
mdgnc,ESP,10,1,50,test,f1,1.5050394530341256,0.132011268539513,1.0971176966812826,0.9825730249785886,4500
mdgnc,ESP,10,1,75,train,f0,4.4169437267388593e-13,2.0027653568855425e-13,3.102880915169711e-13,1.0,75
mdgnc,ESP,10,1,75,train,f1,7.37340698275811e-12,7.557503942456563e-13,6.071587677070056e-12,1.0,75
mdgnc,ESP,10,1,75,test,f0,0.4916924549267442,0.253572640194885,0.307460309737532,0.9357009161445954,4500
mdgnc,ESP,10,1,75,test,f1,0.720034112555659,0.0631562291596882,0.4855512246756462,0.996011290718329,4500
mdgnc,ESP,10,1,100,train,f0,1.5977394785916556e-13,7.578111050652786e-14,1.197664190044634e-13,1.0,100
mdgnc,ESP,10,1,100,train,f1,1.6010052281152292e-11,1.647649940371827e-12,1.3277734467465052e-11,1.0,100
mdgnc,ESP,10,1,100,test,f0,0.4090548887307028,0.2109552975254073,0.2540555810331016,0.9554978624459668,4500
mdgnc,ESP,10,1,100,test,f1,0.7042707533548456,0.0617735803258996,0.4415076486935081,0.9961840247737196,4500
mdgnc,ESP,10,1,125,train,f0,9.657506667455681e-14,4.4678421130257046e-14,7.109690614015564e-14,1.0,125
mdgnc,ESP,10,1,125,train,f1,2.5618982169388813e-11,2.4568424019772905e-12,2.040761160060356e-11,1.0,125
mdgnc,ESP,10,1,125,test,f0,0.3797870605855134,0.1958614713314472,0.2213001800989335,0.9616382840478808,4500
mdgnc,ESP,10,1,125,test,f1,0.7279969623128786,0.0638546732406862,0.4569161156198783,0.9959225807053252,4500
mdgnc,ESP,10,1,150,train,f0,2.0270414566700372e-13,9.646037592068489e-14,1.326849741190017e-13,1.0,150
mdgnc,ESP,10,1,150,train,f1,1.7535760175122385e-11,1.7688550606692796e-12,1.422338395210924e-11,1.0,150
mdgnc,ESP,10,1,150,test,f0,0.4065822783183422,0.2096801379329562,0.2553480174966092,0.9560342397564164,4500
mdgnc,ESP,10,1,150,test,f1,0.7430012195567902,0.0651707390941552,0.4263422045437857,0.9957527747659216,4500
mdgnc,ESP,10,1,175,train,f0,1.0498957048723464e-12,4.923732845337853e-13,6.392956005843838e-13,1.0,175
mdgnc,ESP,10,1,175,train,f1,2.1342780415069903e-11,2.155633216920872e-12,1.614840324951469e-11,1.0,175
mdgnc,ESP,10,1,175,test,f0,0.5209700371870397,0.2686714967217198,0.2498651804716863,0.927815626849311,4500
mdgnc,ESP,10,1,175,test,f1,0.7435270898021376,0.0652168646611864,0.4955425281634335,0.9957467605637644,4500
mdgnc,ESP,10,1,200,train,f0,2.885400087829735e-13,1.3543903583851724e-13,1.723332587744153e-13,1.0,200
mdgnc,ESP,10,1,200,train,f1,3.5086760232833166e-11,3.6795352989418e-12,2.547595912005818e-11,1.0,200
mdgnc,ESP,10,1,200,test,f0,0.2934317036035021,0.1513268122259646,0.1535275126865058,0.9771001959015276,4500
mdgnc,ESP,10,1,200,test,f1,0.6480434755286111,0.056841726707444,0.3268593468225526,0.9967690181049162,4500
mdgnc,ESP,10,1,225,train,f0,2.398577106486033e-13,1.1311073335635468e-13,1.6862560730462266e-13,1.0,225
mdgnc,ESP,10,1,225,train,f1,3.810140590049066e-11,3.9190540926484e-12,2.8697400011878928e-11,1.0,225
mdgnc,ESP,10,1,225,test,f0,0.2887082103245965,0.1488908410214576,0.143105570854907,0.977831517459923,4500
mdgnc,ESP,10,1,225,test,f1,0.6515926916182375,0.05715303849224,0.3247818064136858,0.9967335301911046,4500
mdgnc,ESP,10,1,250,train,f0,2.277774415932498e-13,1.0637530441457245e-13,1.5548096143902513e-13,1.0,250
mdgnc,ESP,10,1,250,train,f1,2.226177459842664e-11,2.1528856560039637e-12,1.63608007142102e-11,1.0,250
mdgnc,ESP,10,1,250,test,f0,0.2894236270557944,0.1492597913837252,0.1392614878084222,0.9777215146760868,4500
mdgnc,ESP,10,1,250,test,f1,0.558094857972643,0.0489520789756183,0.2813020299982339,0.9976036939639648,4500
mdgnc,ESP,10,1,275,train,f0,2.4760559024912045e-13,1.1538847094685234e-13,1.6127059283958673e-13,1.0,275
mdgnc,ESP,10,1,275,train,f1,5.97834715470397e-11,5.327833308333674e-12,4.759055049031634e-11,1.0,275
mdgnc,ESP,10,1,275,test,f0,0.2893873987477815,0.1492411079412184,0.1355197352632291,0.9777270917004776,4500
mdgnc,ESP,10,1,275,test,f1,0.6657096195273821,0.0583912741792913,0.3272896410276839,0.9965904590997188,4500
mdgnc,ESP,10,1,300,train,f0,2.2735696076817714e-13,1.0638293550229301e-13,1.5036268526576652e-13,1.0,300
mdgnc,ESP,10,1,300,train,f1,7.816666177187128e-11,6.9232858912321696e-12,5.87832656625172e-11,1.0,300
mdgnc,ESP,10,1,300,test,f0,0.2909672092221327,0.1500558381836185,0.1304630040984372,0.9774832454270116,4500
mdgnc,ESP,10,1,300,test,f1,0.661577684439272,0.0580288504624879,0.3235126946614308,0.9966326525140022,4500
mdgnc,ESP,10,2,25,train,f0,3.8485667702738493e-13,1.781421431140097e-13,2.97895041967422e-13,1.0,25
mdgnc,ESP,10,2,25,train,f1,2.7380439565589305e-12,2.5762719011024014e-13,2.260662768094335e-12,1.0,25
mdgnc,ESP,10,2,25,test,f0,1.1207501502136346,0.5768261515243505,0.8171746167442001,0.667271590917607,4500
mdgnc,ESP,10,2,25,test,f1,3.2844463486229203,0.2850668071970997,2.46057137922504,0.9187369154344516,4500
mdgnc,ESP,10,2,50,train,f0,1.5903583610945329e-12,7.68630482248423e-13,8.686829033877074e-13,1.0,50
mdgnc,ESP,10,2,50,train,f1,4.44034221806632e-12,4.677702795400676e-13,3.472564458206762e-12,1.0,50
mdgnc,ESP,10,2,50,test,f0,0.6667489304803023,0.3431614258794597,0.3942928961923751,0.8822402357883761,4500
mdgnc,ESP,10,2,50,test,f1,1.8699785111455072,0.1623009625116687,1.4478072699131384,0.973658397567786,4500
mdgnc,ESP,10,2,75,train,f0,9.613962354209364e-13,4.448135274914788e-13,6.572046610623755e-13,1.0,75
mdgnc,ESP,10,2,75,train,f1,6.613680167868423e-12,7.004651575995014e-13,4.973183346616376e-12,1.0,75
mdgnc,ESP,10,2,75,test,f0,0.445707664161357,0.2293962098279409,0.2861935100568674,0.9473773789165753,4500
mdgnc,ESP,10,2,75,test,f1,1.4419342732444325,0.1251497378345674,1.0268488723776767,0.984337543119939,4500
mdgnc,ESP,10,2,100,train,f0,7.252127005139793e-13,3.452227020660633e-13,3.9243719385240186e-13,1.0,100
mdgnc,ESP,10,2,100,train,f1,8.896537831352822e-12,9.259133973264038e-13,7.024993919912958e-12,1.0,100
mdgnc,ESP,10,2,100,test,f0,0.7204052254805634,0.3707771742638397,0.4427110107308927,0.8625242870449222,4500
mdgnc,ESP,10,2,100,test,f1,1.4268154199069167,0.1238375278631018,0.9841743288046328,0.9846642666927556,4500
mdgnc,ESP,10,2,125,train,f0,2.706757854736079e-13,1.347233617132701e-13,1.9900880943168885e-13,1.0,125
mdgnc,ESP,10,2,125,train,f1,4.543872273579988e-12,4.729302570291348e-13,3.283275873400271e-12,1.0,125
mdgnc,ESP,10,2,125,test,f0,0.5782521867181085,0.2976140430688909,0.3423907057875706,0.9114258813681884,4500
mdgnc,ESP,10,2,125,test,f1,1.140700734335236,0.0990047885667763,0.7452665760021876,0.990198051840848,4500
mdgnc,ESP,10,2,150,train,f0,7.374597433130435e-13,3.436360546150972e-13,4.0611958240788236e-13,1.0,150
mdgnc,ESP,10,2,150,train,f1,1.1635079677071484e-11,1.2002545583803528e-12,9.315238950572772e-12,1.0,150
mdgnc,ESP,10,2,150,test,f0,0.5259791201231485,0.2707102127846842,0.3105757251631378,0.926715980694071,4500
mdgnc,ESP,10,2,150,test,f1,1.2193674834884571,0.1058325082593468,0.7659893692873933,0.9887994801955352,4500
mdgnc,ESP,10,2,175,train,f0,5.651432014940776e-13,2.776705077064502e-13,3.8379458341556267e-13,1.0,175
mdgnc,ESP,10,2,175,train,f1,1.6976680794976625e-11,1.8514684302217067e-12,1.304436685651516e-11,1.0,175
mdgnc,ESP,10,2,175,test,f0,0.5535136424838338,0.2848816430221441,0.3255911375182719,0.9188424494690036,4500
mdgnc,ESP,10,2,175,test,f1,0.983626263000864,0.0853718308982074,0.5359271367315163,0.9927116504890878,4500
mdgnc,ESP,10,2,200,train,f0,8.188888479471098e-13,3.970352926049716e-13,4.5012882310402353e-13,1.0,200
mdgnc,ESP,10,2,200,train,f1,1.6804602403755103e-11,1.8052320305335888e-12,1.3120597941451706e-11,1.0,200
mdgnc,ESP,10,2,200,test,f0,0.4935125918251068,0.2540003844898176,0.285236156151352,0.9354838046790248,4500
mdgnc,ESP,10,2,200,test,f1,1.1092627591542372,0.0962761937723001,0.6654351171887388,0.9907308945127186,4500
mdgnc,ESP,10,2,225,train,f0,9.883849845031333e-13,4.81247892951364e-13,5.5137129430073e-13,1.0,225
mdgnc,ESP,10,2,225,train,f1,1.86122030755665e-11,2.001990604302811e-12,1.3786281745827484e-11,1.0,225
mdgnc,ESP,10,2,225,test,f0,0.4894235870157513,0.2518958610977881,0.2630507602588459,0.9365484751618038,4500
mdgnc,ESP,10,2,225,test,f1,1.0836149707406053,0.094050146402762,0.6403774937251342,0.991154569961619,4500
mdgnc,ESP,10,2,250,train,f0,9.235133876376825e-13,4.392730388010402e-13,5.121876256453106e-13,1.0,250
mdgnc,ESP,10,2,250,train,f1,4.603846384036367e-11,4.683974120687992e-12,3.609076770771935e-11,1.0,250
