n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,surrogate.train_fit.mse,surrogate.train_fit.rmse,surrogate.train_fit.mae,surrogate.train_fit.n_points,surrogate.train_fit.n_valid,surrogate.recon_train.adj_precision,surrogate.recon_train.adj_recall,surrogate.recon_train.adj_f1,surrogate.recon_train.adj_edge_rate,surrogate.recon_train.feature_mae,surrogate.recon_train.feature_rmse,surrogate.recon_train.n_graphs,surrogate.recon_infill.adj_precision,surrogate.recon_infill.adj_recall,surrogate.recon_infill.adj_f1,surrogate.recon_infill.adj_edge_rate,surrogate.recon_infill.feature_mae,surrogate.recon_infill.feature_rmse,surrogate.recon_infill.n_graphs,run,seed,runtime_sec
185,0.2218518031622194,0.2971642605097512,77.4828231303207,57.84579880526012,6.861969951321649,6.64011814815943,185,6.861969951321649,83.0,22.58112814999185,3.47592867910862e-06,1.129334483994171,39.97309115715325,368.13244923064485,57139,0.0064427527473467,0.0056398150108503,0.075098701792044,0.042493919097228,83.0,498.0,0.0354920963431338,1.0,0.0684500403073896,0.0354920963431338,0.4943125693194837,0.4957976165306137,83.0,0.0333157069981098,1.0,0.0644831135869026,0.0333157069981098,0.4946020722389221,0.4960343331098557,10.0,0,52,1082.2382004261017
195,0.2218518031622194,0.2971642605097512,80.45446573541821,60.06431683688231,6.861969951321649,6.64011814815943,195,6.861969951321649,87.0,22.58112814999185,3.47592867910862e-06,1.3048844509758055,37.68065899400972,401.3548292808701,62150,0.0064578411790968,0.003882402042015,0.0623089242566025,0.0357490560069146,87.0,522.0,0.0353920324652016,1.0,0.068267652871965,0.0353920324652016,0.4943196588549121,0.4958048377228879,87.0,0.0333157069981098,1.0,0.0644831135869026,0.0333157069981098,0.4943826794624328,0.49591925740242,1.0,0,52,1082.2382004261017
205,0.2218518031622194,0.2971642605097512,83.42610834051573,62.28283486850451,6.861969951321649,6.64011814815943,205,6.861969951321649,91.0,22.58112814999185,3.47592867910862e-06,1.3146553200203923,45.7689696890302,437.18393386830576,67366,0.0064896822413132,0.0031048629236267,0.0557212968588025,0.0289437695569013,91.0,546.0,0.0351532156077715,1.0,0.0678237101861408,0.0351532156077715,0.494318439737781,0.4958030751773289,91.0,0.0285602509975433,1.0,0.0555344223976135,0.0285602509975433,0.4939036726951599,0.495552721619606,10.0,0,52,1082.2382004261017
215,0.2218518031622194,0.2971642605097512,86.39775094561324,64.5013529001267,6.861969951321649,6.64011814815943,215,6.861969951321649,100.0,22.58112814999185,3.47592867910862e-06,1.294740963028744,45.460500553948805,472.7586651393213,72578,0.0065138012226752,0.0048702475746492,0.0697871590957048,0.0385526931748888,100.0,600.0,0.0345598487928509,1.0,0.0667176742851734,0.0345598487928509,0.4942810779809952,0.4957804882526397,100.0,0.0285602509975433,1.0,0.0555344223976135,0.0285602509975433,0.4942506730556488,0.495738199353218,10.0,0,52,1082.2382004261017
225,0.2218518031622194,0.2971642605097512,89.36939355071075,66.7198709317489,6.861969951321649,6.64011814815943,225,6.861969951321649,107.0,22.58112814999185,3.47592867910862e-06,1.2506999501492828,52.16345449304208,513.7984596961178,77836,0.0066010388470131,0.0033543726367642,0.0579169460241494,0.031967173159884,107.0,642.0,0.0341673517408215,1.0,0.0659860596757068,0.0341673517408215,0.4942731851729277,0.4957742248183099,107.0,0.0285602509975433,1.0,0.0555344223976135,0.0285602509975433,0.4942536950111389,0.4957434952259064,10.0,0,52,1082.2382004261017
235,0.2218518031622194,0.2971642605097512,92.34103615580828,68.9383889633711,6.861969951321649,6.64011814815943,235,6.861969951321649,115.0,22.58112814999185,3.47592867910862e-06,1.3099353278521448,43.13285902119242,547.7607273871545,83021,0.0065978574985504,0.0029957395314964,0.0547333493539036,0.0297494482687412,115.0,690.0,0.0337772925586804,1.0,0.0652589892563612,0.0337772925586804,0.4942685355310854,0.4957703038402226,115.0,0.029399586841464,1.0,0.0571198686957359,0.029399586841464,0.4938619166612625,0.4955189764499664,10.0,0,52,1082.2382004261017
245,0.2218518031622194,0.2971642605097512,95.31267876090578,71.15690699499329,6.861969951321649,6.64011814815943,245,6.861969951321649,121.0,22.58112814999185,3.47592867910862e-06,1.410056944005191,47.49671932612546,582.9323308090679,88321,0.0066001554648279,0.0028415855991456,0.0533065249209295,0.0281178936889605,121.0,726.0,0.0335602162421242,1.0,0.0648553965012889,0.0335602162421242,0.4942462052688126,0.4957568943500519,121.0,0.0285602509975433,1.0,0.0555344223976135,0.0285602509975433,0.4939131319522857,0.4955314844846725,10.0,0,52,1082.2382004261017
255,0.2218518031622194,0.2971642605097512,98.2843213660033,73.37542502661549,6.861969951321649,6.64011814815943,255,6.861969951321649,131.0,22.58112814999185,3.47592867910862e-06,1.7307865670882163,38.43341271486133,616.8813488059677,93041,0.0066302097871472,0.0047660716747479,0.0690367414841394,0.0417389877802604,131.0,786.0,0.0331785395058966,1.0,0.0641438717605503,0.0331785395058966,0.4942207798248029,0.4957396874900993,131.0,0.0333157069981098,1.0,0.0644831135869026,0.0333157069981098,0.4945226013660431,0.4959770441055298,1.0,0,52,1082.2382004261017
265,0.2218518031622194,0.2971642605097512,101.2559639711008,75.59394305823768,6.861969951321649,6.64011814815943,265,6.861969951321649,134.0,22.58112814999185,3.47592867910862e-06,1.5384835398290306,45.897135622100905,651.7050467210356,98293,0.0066302284671445,0.0024922830093018,0.0499227704489828,0.0271963169226654,134.0,804.0,0.0331106334646691,1.0,0.0640179041717479,0.0331106334646691,0.494225186198505,0.4957416426779619,134.0,0.0304011572152376,1.0,0.0590021945536136,0.0304011572152376,0.4944710105657577,0.4958800882101059,10.0,0,52,1082.2382004261017
275,0.2218518031622194,0.2971642605097512,104.22760657619833,77.81246108985988,6.861969951321649,6.64011814815943,275,6.861969951321649,143.0,22.58112814999185,3.47592867910862e-06,1.656814879970625,45.17226847005077,687.1445328842383,103499,0.0066391417587052,0.0046275924956261,0.0680264102803178,0.0405860267087968,143.0,858.0,0.0329272335173783,1.0,0.0636779799849003,0.0329272335173783,0.4942389766236285,0.4957488633535958,143.0,0.0288959853351116,1.0,0.0561686009168624,0.0288959853351116,0.4942574203014374,0.4957093715667724,10.0,0,52,1082.2382004261017
