n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_tsfc.graph_0.wloa_semantic_type,kernel_weight.f0_tsfc.sizing,kernel_weight.f0_tsfc.interaction.graph_0_wloa_semantic_type_sizing,kernel_weight.g0_jet_mach.graph_0.wloa_semantic_type,kernel_weight.g0_jet_mach.sizing,kernel_weight.g0_jet_mach.interaction.graph_0_wloa_semantic_type_sizing,kernel_weight.g1_pr.graph_0.wloa_semantic_type,kernel_weight.g1_pr.sizing,kernel_weight.g1_pr.interaction.graph_0_wloa_semantic_type_sizing,kernel_weight.g2_pr.graph_0.wloa_semantic_type,kernel_weight.g2_pr.sizing,kernel_weight.g2_pr.interaction.graph_0_wloa_semantic_type_sizing,kernel_weight.g3_pr.graph_0.wloa_semantic_type,kernel_weight.g3_pr.sizing,kernel_weight.g3_pr.interaction.graph_0_wloa_semantic_type_sizing,kernel_weight.g4_pr_perc_sum.graph_0.wloa_semantic_type,kernel_weight.g4_pr_perc_sum.sizing,kernel_weight.g4_pr_perc_sum.interaction.graph_0_wloa_semantic_type_sizing,kernel_diagnostics.f0_tsfc.graph_0.wloa_semantic_type.depth,kernel_diagnostics.f0_tsfc.graph_0.wloa_semantic_type.num_levels,kernel_diagnostics.g0_jet_mach.graph_0.wloa_semantic_type.depth,kernel_diagnostics.g0_jet_mach.graph_0.wloa_semantic_type.num_levels,kernel_diagnostics.g1_pr.graph_0.wloa_semantic_type.depth,kernel_diagnostics.g1_pr.graph_0.wloa_semantic_type.num_levels,kernel_diagnostics.g2_pr.graph_0.wloa_semantic_type.depth,kernel_diagnostics.g2_pr.graph_0.wloa_semantic_type.num_levels,kernel_diagnostics.g3_pr.graph_0.wloa_semantic_type.depth,kernel_diagnostics.g3_pr.graph_0.wloa_semantic_type.num_levels,kernel_diagnostics.g4_pr_perc_sum.graph_0.wloa_semantic_type.depth,kernel_diagnostics.g4_pr_perc_sum.graph_0.wloa_semantic_type.num_levels,run,seed,runtime_sec
305,0.1515458370974869,0.2895958688517641,105.31733996672445,55.11267998891086,6.791663985256917,6.64011814815943,305,6.791663985256917,208.0,,,50.38712213281542,373.0489667849615,7962.460304209962,122555,0.0649705055216838,0.0081829953010795,0.298626908632867,0.6931900960660534,0.1392967116541836,0.8593103212292745,0.0013929671165418,0.0082349425637893,0.2995386167052483,0.6922264407309624,0.0086332220589757,0.5160661288933772,0.4753006490476471,0.0081188598534033,0.303161377109998,0.6887197630365987,0.0102723211772294,0.6279917951569205,0.3617358836658499,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,16,68,9236.152193784714
75,0.6525503001322885,1.0,0.0,0.0,7.292668448291718,6.64011814815943,75,7.292668448291718,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,69,9064.5947701931
85,0.4993530055623649,0.7652329720193729,8.826164860096865,5.7595165284732674,7.139471153721795,6.64011814815943,85,7.139471153721795,30.0,,,37.89937225356698,252.6544191809371,240.16468466073275,5348,0.0449073830704436,0.0126551162725744,0.6262161450508058,0.3611287386766197,0.0086470169408527,0.5164133236984076,0.4749396593607395,0.0081523253042881,0.2991443913269648,0.6927032833687471,0.0068699136277016,0.4690990491849549,0.5240310371873436,0.8958566629339338,0.0089585666293393,0.0951847704367268,0.3278129236351023,0.003278129236351,0.6689089471285468,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,17,69,9064.5947701931
95,0.3681307642840004,0.5641415906319726,15.473037673353591,10.096935377705094,7.00824891244343,6.64011814815943,95,7.00824891244343,40.0,,,43.27942180074752,257.9372730460018,488.37811060715467,10583,0.0461474166689175,0.0126715777569926,0.6376073845878173,0.34972103765519,0.0085324108035365,0.5136860844349237,0.4777815047615397,0.0155406447237774,0.2143088254241709,0.7701505298520518,0.006657791458893,0.5498623337922148,0.4434798747488921,0.8616772648377654,0.1297059625138568,0.0086167726483776,0.4205955840790527,0.4374413467785883,0.141963069142359,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,17,69,9064.5947701931
105,0.1642944417519789,0.2517728391492154,19.552609822259534,12.75906140788499,6.804412589911409,6.64011814815943,105,6.804412589911409,43.0,,,36.89591943472624,277.8003258900717,755.2331659877673,15770,0.047890498794405,0.0125473704931716,0.6368739366272577,0.3505786928795708,0.0088717325807088,0.819865505953228,0.171262761466063,0.0081270962477689,0.2995747516656994,0.6922981520865316,0.0072216573212757,0.4202721689006137,0.5725061737781106,0.9123373483843256,0.0091233734838432,0.0785392781318311,0.0804331575433487,0.3174936716804088,0.6020731707762425,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,17,69,9064.5947701931
115,0.1642944417519789,0.2517728391492154,22.07033821375169,14.40200582540478,6.804412589911409,6.64011814815943,115,6.804412589911409,53.0,,,37.88410633988679,236.58285142946988,982.1963734757156,20320,0.048336435702545,0.0125730639380505,0.6383616961854401,0.3490652398765091,0.0088142841611694,0.8221354272720449,0.1690502885667856,0.0083439094790089,0.237788385303354,0.7538677052176371,0.1827129134069881,0.0018271291340698,0.8154599574589421,0.6958205547817281,0.2972212396704545,0.0069582055478172,0.0081726112131109,0.2687880632305117,0.7230393255563773,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,17,69,9064.5947701931
125,0.1638599967612197,0.2511070743941136,24.58473778146833,16.042778017970775,6.80397814492065,6.64011814815943,125,6.80397814492065,63.0,,,38.64919168967754,295.0258498508483,1262.16044323612,25091,0.0503033136676943,0.0086420106679387,0.502119065768208,0.4892389235638532,0.0088992222711855,0.8198967481767772,0.1712040295520373,0.0081784395743082,0.3001488312729994,0.6916727291526923,0.2497936793244458,0.0024979367932444,0.7477083838823098,0.8581602065487218,0.0085816020654872,0.1332581913857909,0.1455576670398576,0.0014555766703985,0.8529867562897437,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,17,69,9064.5947701931
135,0.1629238094354006,0.2496724151415942,27.088635229146877,17.676697048953876,6.80304195759483,6.64011814815943,135,6.80304195759483,69.0,,,39.49839117191732,328.2064927481115,1576.3078515976667,30499,0.0516839191972742,0.0086469291643934,0.5060192502062598,0.4853338206293467,0.0088134359965648,0.8221499820286527,0.1690365819747824,0.0081545020164963,0.3020474484570352,0.6897980495264685,0.0153430873718173,0.2124147149400337,0.772242197688149,0.8691863008366393,0.0086918630083663,0.1221218361549943,0.0977093708103479,0.316687408533605,0.585603220656047,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,17,69,9064.5947701931
145,0.1629238094354006,0.2496724151415942,29.585359380562817,19.305935143307885,6.80304195759483,6.64011814815943,145,6.80304195759483,75.0,,,35.52811118494719,247.80378799512985,1816.9722010679543,35625,0.0510027284510302,0.0086857955398843,0.5173462863524427,0.473967918107673,0.0086036498369589,0.8069715418974881,0.1844248082655529,0.0081642670720668,0.3006405786692934,0.6911951542586396,0.1770590979023064,0.0770880445363058,0.7458528575613877,0.0058429266282017,0.552135651786893,0.4420214215849052,0.1679173939014053,0.3163728039299805,0.5157098021686142,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,17,69,9064.5947701931
155,0.1603355166541478,0.245705988674963,32.062251399645604,20.922231773755627,6.800453664813578,6.64011814815943,155,6.800453664813578,78.0,,,36.834587446413934,281.93547188397497,2089.1700080521405,40857,0.0511337104548092,0.0085508438085044,0.5041860409211503,0.4872631152703451,0.0088939891056663,0.8297859520920913,0.1613200588022423,0.0155618075605599,0.2040324057395925,0.7804057866998474,0.0153974571297343,0.2120259480832093,0.7725765947870563,0.0083510712034063,0.2439027247911984,0.7477462040053953,0.0161529264916304,0.2352524277489273,0.7485946457594422,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,17,69,9064.5947701931
