n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.reference_mdgnc_edge_failures,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,surrogate.train_fit.mse,surrogate.train_fit.rmse,surrogate.train_fit.mae,surrogate.train_fit.n_points,surrogate.train_fit.n_valid,surrogate.recon_train.adj_precision,surrogate.recon_train.adj_recall,surrogate.recon_train.adj_f1,surrogate.recon_train.adj_edge_rate,surrogate.recon_train.feature_mae,surrogate.recon_train.feature_rmse,surrogate.recon_train.n_graphs,surrogate.recon_infill.adj_precision,surrogate.recon_infill.adj_recall,surrogate.recon_infill.adj_f1,surrogate.recon_infill.adj_edge_rate,surrogate.recon_infill.feature_mae,surrogate.recon_infill.feature_rmse,surrogate.recon_infill.n_graphs,run,seed,runtime_sec
140,0.2972208490282753,0.4712627414670558,0.6705701795726954,0.4727469256268071,74.31629402291644,46.72341755970088,2.293025387342328,1.0393001330820753,140,-11.23434085433997,130.0,30.03896013298072,129.20441829808988,0.4622356670006411,26.306655416003196,272.9801480308088,56238,0.0048540159328356,0.0007111329500279,0.0266670761432131,0.0166906475949065,130.0,260.0,0.7960588317651015,0.998793363571167,0.8816994359860053,0.067529734940483,0.005173347904705,0.0121436494187666,130.0,0.7116883099079132,1.0,0.8315602838993073,0.0663865581154823,0.0047565068583935,0.0110084972344338,10.0,30,2030,639.9410707950592
150,0.2949456351130723,0.4727884320707398,0.6705701795726954,0.4691280664953832,79.0256689835274,49.684249980407614,1.8844242573815944,1.02724352605496,150,-11.23434085433997,140.0,30.03896013298072,129.20441829808988,0.4900557319924701,26.854275618999964,296.7229216907581,61450,0.0048286887175062,0.0005076930885029,0.0225320458126407,0.013103390225237,140.0,280.0,0.7900323659181595,0.9988795518875122,0.8781180679798126,0.0674480794529829,0.0051435735442542,0.0120625671198857,140.0,0.8949999809265137,1.0,0.9445613741874694,0.0791662529110908,0.005225123791024,0.0121821331791579,10.0,30,2030,639.9410707950592
160,0.2949455699641738,0.4727884757576484,0.6705701795726954,0.46912796287229763,83.7169491303658,52.63370600579385,1.861229321555802,1.0482794177328607,160,-11.23434085433997,150.0,30.03896013298072,129.20441829808988,0.5020352249994176,33.66288859098859,326.93218371187686,67517,0.0048422202365608,0.0006189259484575,0.0248782223733447,0.014292198316372,150.0,300.0,0.7970302069187164,0.9989542484283448,0.8825476217269898,0.0682292910168568,0.0051490102273722,0.0120705381905039,150.0,0.7076166987419128,1.0,0.8285781443119049,0.0619251634925603,0.0060485048219561,0.0146183825097978,10.0,30,2030,639.9410707950592
170,0.2949455699641738,0.4727884757576484,0.6705701795726954,0.46912796287229763,88.40822875908879,55.583161705435586,1.861229321555802,1.0482794177328607,170,-11.23434085433997,160.0,30.03896013298072,129.20441829808988,0.5028381340089254,31.585495336999884,355.3012216338393,73011,0.0048664067282168,0.0011666898031657,0.034156841235187,0.0172038426230991,160.0,320.0,0.7914418626576663,0.9990196079015732,0.8791745293885469,0.0678352830465883,0.0052052286395337,0.0122297784604597,160.0,0.7506272111620221,1.0,0.8572267804827008,0.0574314583625112,0.0053461830663893,0.0120222744132791,7.0,30,2030,639.9410707950592
180,0.2908775852469734,0.4755163449999604,0.6705701795726954,0.4626575982432995,93.06715656466677,58.512277481491324,1.600359650562552,1.0308195840765075,180,-11.23434085433997,170.0,30.03896013298072,129.20441829808988,0.5609915910026757,33.637450891998014,385.0218294139049,78490,0.0049053615672557,0.0011134023760598,0.0333676846074141,0.0173794483504932,170.0,340.0,0.7897249109604779,0.9988215236102832,0.8781955761068008,0.0672304715084678,0.0052104813649373,0.0122277157490744,170.0,0.7151287019252777,0.986862337589264,0.828950309753418,0.0571717180311679,0.0055132262874394,0.0139812936075031,10.0,30,2030,639.9410707950592
190,0.2880614406794899,0.4774047675682805,0.6705701795726954,0.4581783576693255,97.6713363442299,61.40697261112364,1.595998788420382,0.995872457187952,190,-11.23434085433997,180.0,30.03896013298072,129.20441829808988,0.5586313859967049,23.00565223301237,405.0245213039598,83618,0.004843748012437,0.0010299965263249,0.0320935589538613,0.0176234863378276,180.0,360.0,0.7855806771251891,0.9981571243868934,0.8754597279760573,0.0666716518708401,0.0052273005272986,0.0123251367412093,180.0,0.8048780560493469,1.0,0.8918918967247009,0.0758620724081993,0.005737422639504,0.0141076084226369,10.0,30,2030,639.9410707950592
200,0.2880614406794899,0.4774047675682805,0.6705701795726954,0.4581783576693255,102.25311992092315,64.28758701791854,1.595998788420382,0.995872457187952,200,-11.23434085433997,190.0,30.03896013298072,129.20441829808988,0.5882557609875221,24.558847852997133,426.87756555498345,88043,0.0048485122673578,0.0008984703970546,0.0299744957764865,0.0160877808046496,190.0,380.0,0.7865963286475132,0.9982541178402148,0.876324578962828,0.0671553582149116,0.0052541490595199,0.0124189510402318,190.0,0.6666666865348816,1.0,0.800000011920929,0.0774193555116653,0.0049324145540595,0.0115713943727314,10.0,30,2030,639.9410707950592
210,0.28710506379993245,0.4780460853841445,0.6705701795726954,0.45665718500923286,106.82729763431594,67.16341954031566,1.5942067226799108,1.0075965301551186,210,-11.23434085433997,200.0,30.03896013298072,129.20441829808988,0.6231497350090649,16.979739960996085,441.60615076597605,91740,0.0048136707081532,0.0009486076786682,0.0307994752985866,0.0167081944636222,200.0,400.0,0.7805998465418815,0.998341411948204,0.8725083506107331,0.0676685580797493,0.0052380623342469,0.0123765732068568,200.0,0.739130437374115,1.0,0.8499999642372131,0.0731182768940925,0.0054549264721572,0.0132548666559159,10.0,30,2030,639.9410707950592
220,0.28710506379993245,0.4780460853841445,0.6705701795726954,0.45665718500923286,111.39386948440827,70.03447017831498,1.5942067226799108,1.0075965301551186,220,-11.23434085433997,210.0,30.03896013298072,129.20441829808988,0.6616957799997181,27.944753621006384,466.3679103319446,97020,0.004806925482704,0.0008148273224692,0.0285451803719862,0.0150108463709162,210.0,420.0,0.7786142159075964,0.9984203923316228,0.8714293076878502,0.067849246501213,0.0052448041626207,0.0124038917988183,210.0,0.7308216542005539,1.0,0.8443703576922417,0.0597439557313919,0.0051044556312263,0.0125135916750878,8.0,30,2030,639.9410707950592
230,0.2870920409257641,0.4780548181352141,0.6705701795726954,0.4566364713757646,115.96033776633325,72.90545570194345,1.5934930548179205,1.0220044459549746,230,-11.23434085433997,220.0,30.03896013298072,129.20441829808988,0.6827356279973174,29.43081232300028,492.53533526405226,102249,0.0048170186042313,0.0009437488895711,0.0307204962455223,0.016204175394701,220.0,440.0,0.7770741739056327,0.9984124478968708,0.8705615986477245,0.0674374837597662,0.005240220722573,0.0124061843930658,220.0,0.6866926550865173,1.0,0.8142395496368409,0.0564621992409229,0.0056929353158921,0.0157634055241942,10.0,30,2030,639.9410707950592
240,0.28578886769522066,0.478928687242434,0.6705701795726954,0.4545636990910721,120.51633861866743,75.76986024504838,1.5701485930283268,1.0219842870821363,240,-11.23434085433997,230.0,30.03896013298072,129.20441829808988,0.6882394440035569,21.927240475008148,511.54300444122055,107250,0.0047696317430416,0.0009777760974119,0.0312694115296722,0.017250260120355,230.0,460.0,0.7731445426526277,0.9984814719013546,0.8681128139081209,0.0669602974763383,0.0052599039657608,0.0125521505292019,230.0,0.8048780560493469,1.0,0.8918918967247009,0.0758620724081993,0.0051824593916535,0.0121891243383288,10.0,30,2030,639.9410707950592
250,0.2841368906961623,0.4800364537553425,0.6705701795726954,0.4519361342682668,125.04883778546413,78.6194890370053,1.550976376904331,1.0080836936098845,250,-11.23434085433997,240.0,30.03896013298072,129.20441829808988,0.726240511998185,39.129785873999936,547.2700548531138,112866,0.0048488477916566,0.0010196368503599,0.0319317530110688,0.0173688932263191,240.0,480.0,0.7746218857665856,0.9985447439054648,0.8691969166199366,0.0672474008363982,0.0052567444858141,0.0125417471397668,240.0,0.7771516442298889,1.0,0.874554979801178,0.0545454546809196,0.0055409380234777,0.0136365045793354,10.0,30,2030,639.9410707950592
