x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,f0,f1,g0,g1,g2,run,seed
2.0,0.0,1.0,0.0,0.0,5.0,5.0,5.0,28.468225268735896,0.00526778349402564,0.5418380541140315,0.9914163146472716,0.18,10.004127490912241,8.26885247020042,-3.903253253890332,-0.0009719995714476681,-138246.16959048263,-1.5472752010462059,2,2002
2.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,28.028556429705976,0.009117186287616593,0.3520608847385424,0.9993892113990434,0.18,10.724231568326205,8.056498831701088,-3.613752858783969,-8.111719580483623e-07,-159638.81700638557,-1.169020451717419,2,2002
2.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,28.00246271554823,0.016089899866614937,0.38833334867280284,0.9939506875948874,0.18,10.001515130859469,8.07368448659406,-3.748670513270396,-3.738644409168046e-06,-174144.11163117617,-1.5976837982033525,2,2002
2.0,0.0,0.0,0.0,1.0,5.0,5.0,5.0,28.138569430068333,0.00022516277953155812,0.5271108700337853,0.9964179932715701,0.18,10.407939294806882,8.246994234718517,-3.776538638678156,-0.0004319119843785302,-178917.7422065222,-1.6447319706738242,2,2002
2.0,0.0,0.0,0.0,1.0,5.0,5.0,5.0,28.208384099323876,0.0006970327014291292,0.5020276129561687,0.9985532261488562,0.18,10.00318047379286,8.249077634637068,-3.7897611746881306,-0.0006650329432886792,-180459.58746450447,-1.8753213595394658,2,2002
2.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,28.000579134828275,0.005430363212319933,0.3662201457573594,0.999471003525802,0.18,10.401703756913555,8.061274502730477,-3.6565215799748945,-1.2230284482939169e-06,-164336.7434415116,-1.2998050554178517,2,2002
2.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,28.324265556993147,0.0014804323080476103,0.3532542134727055,0.9965843601272133,0.18,10.975263635029748,8.05118347137727,-3.5657359781713787,-0.0010070326288769138,-153766.2141320509,-1.0278982954102867,2,2002
2.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,28.00344265270646,0.000719836778965296,0.3042894854273823,0.9972133169284223,0.18,10.99824234304689,8.04445110271154,-3.485130732095936,-8.557448290957836e-05,-145447.82113672222,-1.0434693176186944,2,2002
2.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,28.00035803921725,0.0003338559496722285,0.3560574609444705,0.9975398804337031,0.18,10.00438736096454,8.063307866768582,-3.6704086204469575,-1.8804157662088983e-06,-166350.01252603633,-1.4621593479418542,2,2002
2.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,28.001859255969336,0.00046386233715851866,0.3457398386821201,0.9956240522185174,0.18,10.240206422853008,8.058684998974826,-3.6307720877843983,-4.860539775108919e-07,-162023.51049312213,-1.3380537669227806,2,2002
2.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,28.018146922150805,0.00010993157205345448,0.419820150573799,0.9875181385466598,0.18,10.000155948722586,8.072235001447709,-3.744586036656911,-1.843998416006798e-05,-172971.0258610109,-1.5337915345770072,2,2002
2.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,28.016043819731298,0.06040809111396124,0.26384463386509177,0.9905871246951917,0.18,10.193094712856942,8.066859863020705,-3.721203240195482,-5.02742659591604e-06,-170376.39106559544,-1.3948565519058018,2,2002
2.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,28.07967607103404,0.09928731654007875,0.21931194030352666,0.9972097067823305,0.18,10.03176551003219,8.074555249360257,-3.7594051893822775,-8.854216503095813e-06,-176070.3787224827,-1.6640643223383988,2,2002
2.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,28.0027303324747,0.09888711809052939,0.19409731746661185,0.9949268278195297,0.18,10.660809046452435,8.061598136080823,-3.6617437185439066,-6.007703632349148e-07,-166021.82911067974,-1.2978129440032715,2,2002
2.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,28.00258450383859,5.954069543463692e-05,0.3568374296310993,0.999564079886785,0.18,10.000842978444492,8.06343777055972,-3.6716843860928328,-8.912406883609947e-05,-166461.67791423714,-1.463425248016794,2,2002
2.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,28.010154997999734,0.00010854747822674094,0.3566427133752191,0.99747568494471,0.18,10.2443257546468,8.060094119436199,-3.645190894903884,-8.614233593107201e-07,-163332.61762854157,-1.3401714485511784,2,2002
2.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,28.001096037062975,0.001396578666116979,0.31962469807529903,0.997465782108282,0.18,10.655103800123598,8.050425856493622,-3.550716744214833,-0.0007484384741474059,-153105.27635856406,-1.1597847103360182,2,2002
2.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,28.007346681914793,3.984377310715611e-05,0.30261880146967,0.9972241791370713,0.18,10.942889068456635,8.044623405535674,-3.4866116615222476,-9.430634872842347e-05,-145723.16261074477,-1.0574031954978034,2,2002
2.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,28.000248971869183,8.035962869613227e-05,0.34714318147720097,0.9939103526553794,0.18,10.461190273685313,8.055906346635274,-3.6071397142268333,-5.382162271416746e-07,-159136.06836399954,-1.2416079760130394,2,2002
