n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_cost.graph_0.esp_semantic_type,kernel_weight.f0_cost.sizing,kernel_weight.f0_cost.interaction.graph_0_esp_semantic_type_sizing,kernel_weight.f1_payload_mass.graph_0.esp_semantic_type,kernel_weight.f1_payload_mass.sizing,kernel_weight.f1_payload_mass.interaction.graph_0_esp_semantic_type_sizing,kernel_weight.g0_delta_delta_v.graph_0.esp_semantic_type,kernel_weight.g0_delta_delta_v.sizing,kernel_weight.g0_delta_delta_v.interaction.graph_0_esp_semantic_type_sizing,kernel_weight.g1_structural_constraint.graph_0.esp_semantic_type,kernel_weight.g1_structural_constraint.sizing,kernel_weight.g1_structural_constraint.interaction.graph_0_esp_semantic_type_sizing,kernel_weight.g2_volume_constraint.graph_0.esp_semantic_type,kernel_weight.g2_volume_constraint.sizing,kernel_weight.g2_volume_constraint.interaction.graph_0_esp_semantic_type_sizing,kernel_diagnostics.f0_cost.graph_0.esp_semantic_type.sigma,kernel_diagnostics.f1_payload_mass.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g0_delta_delta_v.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g1_structural_constraint.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g2_volume_constraint.graph_0.esp_semantic_type.sigma,run,seed,runtime_sec
200,0.1726141733844621,0.6661890335490263,0.8051733690847775,0.3977019771140793,52.67114043054193,22.86080002068225,0.43575322438363895,0.9193767871537246,200,8.457774378399955,190.0,,,129.22370442561805,256.19476719852537,2274.275135680102,55904,0.040681796216372745,0.007250366515904029,0.5752378876422801,0.4175117458418158,0.007316078594904549,0.578468824512013,0.41421509689308256,0.007336474206615376,0.5632731346427717,0.429390391150613,0.007282362996712589,0.5790082940687983,0.4137093429344891,0.007329522843529152,0.5790677410295095,0.41360273612696136,20.000000000000014,20.000000000000004,19.95823207728772,20.000000000000004,20.000000000000004,1,2001,44517.27482485771
210,0.15341010191672058,0.6816516404728525,0.8051733690847775,0.353455916425019,56.426929898237425,24.490921397188167,0.4238495063171526,0.7959778076243046,210,8.457774378399955,200.0,,,140.54413980804384,243.75311448145658,2513.7010012604296,61579,0.04082075060102356,0.0073516890102960876,0.5742879464168676,0.41836036457283626,0.01652000888039597,0.9525552483154339,0.030924742804170097,0.007354686250184522,0.5649770861078368,0.4276682276419787,0.016824142388842486,0.9403039689296935,0.042871888681464056,0.007307501799441804,0.5794889083013196,0.41320358989923855,20.000000000000004,0.0013160343910566543,19.528579866576347,0.003442713990506774,20.000000000000004,1,2001,44517.27482485771
220,0.15183990945668405,0.6829159176260117,0.8051733690847775,0.3498382028064781,59.94340049439491,26.01717145405519,0.3561401718918855,0.7902211048915948,220,8.457774378399955,210.0,,,141.55977610126138,201.95565930753946,2711.3442921685055,67081,0.040418960542754366,0.4791005283355375,0.1605337374245909,0.3603657342398716,0.05242967553993096,0.9415828159526914,0.005987508507377615,0.00730393023163592,0.5804738109474955,0.41222225882086855,0.06069342265399112,0.9341103549596864,0.005196222386322339,0.14779046980656174,0.7035373152210099,0.14867221497242822,20.000000000000004,20.000000000000014,17.781926482442753,20.000000000000004,20.000000000000004,1,2001,44517.27482485771
230,0.15183990945668405,0.6829159176260117,0.8051733690847775,0.3498382028064781,63.44178252245969,27.535570548622033,0.3561401718918855,0.7902211048915948,230,8.457774378399955,220.0,,,146.95347019657493,312.6607608580962,3019.4465244272724,73193,0.04125321443891181,0.007357630027818403,0.5744985261469976,0.418143843825184,0.00732520386490605,0.5802768521883795,0.4123979439467144,0.007302051515254317,0.5797036482179007,0.41299430026684497,0.007248625018668419,0.5800978024434751,0.4126535725378565,0.007349142867694681,0.5796052702066304,0.41304558692567506,19.999999999999982,20.000000000000004,17.86754482482062,20.000000000000014,20.000000000000004,1,2001,44517.27482485771
240,0.14967742933964295,0.6846570890274285,0.8051733690847775,0.34485586212636715,66.91525284712391,29.04315724260367,0.3506721894371152,0.7244649420087695,240,8.457774378399955,230.0,,,156.53089098911732,205.8157469406724,3220.84197610151,78615,0.04096981461682262,0.011340632801818054,0.1108943135554378,0.8777650536427443,0.007338023295442424,0.5809368966646814,0.41172508003987623,0.007229400910947882,0.5780030659562289,0.4147675331328234,0.007294458512592203,0.5823505248913218,0.41035501659608603,0.007284529683122233,0.5785658740949664,0.4141495962219114,20.000000000000004,20.000000000000004,17.595578355568684,20.000000000000004,19.999400279100385,1,2001,44517.27482485771
250,0.14963351617799492,0.6846924467357398,0.8051733690847775,0.34475468647626656,70.36330559013707,30.53971197019186,0.3506121822653439,0.7846739093871034,250,8.457774378399955,240.0,,,167.19189334474504,222.45550902094692,3439.0160225508735,84253,0.04081772782631922,0.011118735910850823,0.1174864518609378,0.8713948122282114,0.007364239957471242,0.5830535142786671,0.40958224576386176,0.007293513028067806,0.5857311845270537,0.40697530244487845,0.017396701834284548,0.9806191417606749,0.001984156405040564,0.007313278923697549,0.5781104487035307,0.4145762723727717,20.000000000000004,20.000000000000004,18.437569305455742,0.005135979055970921,20.000000000000064,1,2001,44517.27482485771
260,0.14963351617799492,0.6846924467357398,0.8051733690847775,0.34475468647626656,73.81085245489975,32.036047131971806,0.3506121822653439,0.7846739093871034,260,8.457774378399955,250.0,,,182.08310800418258,294.3965510260314,3728.826957842335,90113,0.041379456436278175,0.011433295154630627,0.09755046409681267,0.8910162407485567,0.007371521467928114,0.5869534269157362,0.4056750516163358,0.008763089308673866,0.7857715556131732,0.205465355078153,0.007266071322929363,0.5828644751380192,0.4098694535390516,0.007310672241619538,0.5777702545738923,0.4149190731844882,20.000000000000004,19.999999999999993,11.78515539889716,20.000000000000004,20.000000000000004,1,2001,44517.27482485771
270,0.14963351617799492,0.6846924467357398,0.8051733690847775,0.34475468647626656,77.25839931966242,33.53238229375175,0.3506121822653439,0.7846739093871034,270,8.457774378399955,260.0,,,195.9024215899408,177.46355460770428,3903.449245103635,93460,0.041765988070871334,0.011245640245068382,0.1268102081345248,0.8619441516204068,0.016647414542104652,0.9443237267277826,0.039028858730112796,0.0071852999480544865,0.5823124733023017,0.4105022267496438,0.007302718481117968,0.5807251159397346,0.41197216557914745,0.007311546431304113,0.5778651756869692,0.41482327788172674,20.000000000000004,0.0006421069668240844,15.29378162847373,20.000000000000004,20.000000000000004,1,2001,44517.27482485771
280,0.14963351617799492,0.6846924467357398,0.8051733690847775,0.34475468647626656,80.70594618442509,35.0287174555317,0.3506121822653439,0.7846739093871034,280,8.457774378399955,270.0,,,199.91774094756693,322.1213775482029,4221.13199518621,99816,0.04228913195465867,0.010895270736307874,0.14108731089180024,0.8480174183718919,0.016928752262638243,0.9733446569409572,0.009726590796404533,0.010758396769928626,0.14417021317642748,0.8450713900536438,0.007263962792765458,0.5846267146940735,0.408109322513161,0.007307616581129952,0.5715023859070847,0.4211899975117853,20.000000000000004,0.0001,20.000000000000004,20.000000000000004,20.000000000000004,1,2001,44517.27482485771
290,0.1442740864249314,0.6890077168463872,0.8051733690847775,0.33240659380690035,84.09175258584092,36.49825546854633,0.4700394105716243,0.9541167734457597,290,8.457774378399955,280.0,,,211.6436299290508,198.40911564510316,4414.504819376394,105307,0.041920335964146675,0.01139298136442763,0.10195489893086486,0.8866521197047075,0.007324786203431985,0.5746733095214509,0.41800190427511713,0.007418703846317343,0.5832391980592104,0.40934209809447225,0.007317716221066759,0.5748528536795832,0.41782943009935,0.007291994889765377,0.5740548800045782,0.4186531251056566,19.999999999999993,20.000000000000004,14.74840600388744,20.000000000000004,20.000000000000004,1,2001,44517.27482485771
300,0.13011438637833359,0.7004087302381362,0.8051733690847775,0.2997827333587109,87.25269922166898,37.87019783256266,0.3697283503927414,0.9072490003077628,300,8.457774378399955,290.0,,,209.65882522054017,275.56351898238063,4685.71394489985,111034,0.042200712798781,0.007324079408062759,0.5771314140858221,0.4155445065061152,0.007238516857075766,0.5969577359961781,0.3958037471467461,0.007413872507644833,0.5808724597538213,0.41171366773853385,0.0071353186165021764,0.5774981149549772,0.4153665664285206,0.007297613159199257,0.5838253079323118,0.4088770789084888,20.000000000000004,20.000000000000004,14.411143841788864,20.000000000000004,19.999999999999993,1,2001,44517.27482485771
310,0.12961907034241155,0.7008075455195413,0.8051733690847775,0.29864152830630913,90.24482052999407,39.16886511616639,0.3691440242903919,0.9816347529996946,310,8.457774378399955,300.0,,,223.52389074489474,97.48942436091602,4781.935811059549,112547,0.04248834541177952,0.49433197112225136,0.03825798308179908,0.4674100457959495,0.007224087459490845,0.5779772048031524,0.4147987077373568,0.007406485511766249,0.5808276865447164,0.4117658279435175,0.017519831137830812,0.9767861041084597,0.0056940647537095344,0.17139746833032177,0.5239062386865395,0.3046962929831387,20.000000000000004,19.999999999999993,15.297084642915332,0.0001686241411844107,20.000000000000004,1,2001,44517.27482485771
320,0.1296190258607834,0.7008075813349637,0.8051733690847775,0.29864142582091574,93.2312353006302,40.465055597182364,0.3691438369260543,1.00170126146305,320,8.457774378399955,310.0,,,233.73691773973405,290.39137367065996,5068.048802983947,118548,0.0427510274570971,0.5400146729484556,0.005400146729484536,0.45458518032205986,0.016963855912937448,0.9729464068535714,0.010089737233491249,0.007355640093439744,0.5802548307217726,0.4123895291847876,0.01832112684173336,0.9755106055791668,0.006168267579099857,0.1306913095755056,0.5152666483083331,0.3540420421161613,20.000000000000004,0.05765683616677404,15.378830095624426,0.00015895427762815928,20.000000000000004,1,2001,44517.27482485771
330,0.1283560540660869,0.7018244925899585,0.8051733690847775,0.29573154669603435,96.20310016321496,41.75493099681672,0.36993123132239825,1.0657491129169319,330,8.457774378399955,320.0,,,233.6029823757708,362.79930261243135,5426.174857484177,124762,0.04349220802395102,0.007321341456733553,0.5767342271364496,0.41594443140681686,0.00730586398283875,0.5781201462433028,0.4145739897738586,0.0073114293592268014,0.5767578232571131,0.4159307473836601,0.01744629453852696,0.9768769576112251,0.005676747850247954,0.007315256585477577,0.5887521535737601,0.4039325898407623,19.999999999999993,20.000000000000004,14.50642964611079,0.001104767748477147,19.999999999999993,1,2001,44517.27482485771
340,0.1283560540660869,0.7018244925899585,0.8051733690847775,0.29573154669603435,99.1604156301753,43.03849153747759,0.36993123132239825,1.0657491129169319,340,8.457774378399955,330.0,,,246.46164723765105,353.7063051154837,5775.689553630538,130411,0.04428836182247309,0.3188067295669756,0.05638660699394022,0.6248066634390841,0.01736747646583091,0.9767804359273816,0.005852087606787425,0.007266941933366893,0.580249909682859,0.41248314838377415,0.01675446129840958,0.947221276996592,0.036024261704998464,0.007279563117923821,0.5751541099041796,0.4175663269778966,20.000000000000004,0.004499871884608088,16.193238198366924,0.0027075757106623413,20.000000000000014,1,2001,44517.27482485771
350,0.12761491267746322,0.7024212398988048,0.8051733690847775,0.29402396156674016,102.10919317148917,44.31834637119534,0.3666768156914886,1.010754258404176,350,8.457774378399955,340.0,,,270.38960779551417,241.0665759779513,6012.475034015253,136011,0.044205799781012224,0.2788822387259765,0.06430947133951297,0.6568082899345105,0.12279084068320367,0.8467254055798749,0.03048375373692152,0.19376219941909434,0.41856129704018974,0.387676503540716,0.0073124683982707045,0.5757902810723947,0.41689725052933446,0.0072609380995686925,0.5752952163415695,0.4174438455588616,19.999999999999993,20.000000000000004,17.868552248646026,20.000000000000014,20.000000000000004,1,2001,44517.27482485771
360,0.12643822628761586,0.7033686764436744,0.8051733690847775,0.2913128834755847,105.0358773967008,45.58861206602074,0.36449267141986447,1.0454102184638185,360,8.457774378399955,350.0,,,276.4138593636453,319.79536705091596,6327.73425240349,142149,0.04451479962858332,0.01160546037099472,0.08844835367115253,0.8999461859578527,0.007328177920098356,0.5793302099060393,0.41334161217386245,0.011519982683429126,0.10564673663376875,0.8828332806828021,0.007340245638209288,0.5793642597621774,0.41329549459961334,0.011303374983676541,0.1202814179579395,0.8684152070583839,20.000000000000014,19.999999999999993,20.000000000000004,20.000000000000004,20.000000000000025,1,2001,44517.27482485771
370,0.12643822628761586,0.7033686764436744,0.8051733690847775,0.2913128834755847,107.94900623145665,46.8529943288969,0.36449267141986447,1.0454102184638185,370,8.457774378399955,360.0,,,283.4951270343736,238.41846164595336,6562.038841824047,147625,0.04445072881845248,0.01145128294940881,0.0988251104326647,0.8897236066179265,0.017451059901940947,0.9713953071265703,0.011153632971488744,0.00717199002796591,0.5717830766475837,0.4210449333244503,0.007291834295105079,0.5801596314869171,0.41254853421797794,0.011289630792741511,0.11578255169496997,0.8729278175122885,19.999999999999993,0.02784903128501458,15.911024044051631,20.000000000000004,20.000000000000004,1,2001,44517.27482485771
380,0.12588776999034507,0.7038118891950819,0.8051733690847775,0.29004463560551036,110.85579382686213,48.1146243102867,0.36029861658106666,0.9953946059594497,380,8.457774378399955,370.0,,,283.40155608952045,196.72173925675452,6754.088329005055,152881,0.044178729397407496,0.4272427383489564,0.051860772560567786,0.5208964890904757,0.16049794577742862,0.8161985664882142,0.02330348773435718,0.011439779441712846,0.10793338678409761,0.8806268337741896,0.15464406949399684,0.8206334744618485,0.024722456044154583,0.1995821660619868,0.46978419954986594,0.3306336343881473,20.000000000000004,20.000000000000004,20.000000000000004,20.000000000000004,20.000000000000004,1,2001,44517.27482485771
390,0.1258284040362218,0.7038596890803722,0.8051733690847775,0.28990785681808423,113.7555562889801,49.37320518041953,0.3593111686740948,1.036182902420103,390,8.457774378399955,380.0,,,302.40615042485297,297.8088053185493,7047.8874326059595,158120,0.04457302955101163,0.6250119513690119,0.03162355663734163,0.34336449199364644,0.016216665235292912,0.9337254047131511,0.05005793005155602,0.13641938511862273,0.6200118700800261,0.2435687448013512,0.007306322695168056,0.5756599085509165,0.41703376875391535,0.2942938820073048,0.18495227318445664,0.5207538448082386,19.999999999999993,0.0004925019982892806,14.100528064881816,20.000000000000004,20.000000000000004,1,2001,44517.27482485771
400,0.12433330653684936,0.7050635017710521,0.8051733690847775,0.28646316151977647,116.6374113806694,50.62401373328489,0.3466832770902066,1.0733632017381896,400,8.457774378399955,390.0,,,303.477805766277,344.82992062717676,7388.516590707935,163497,0.045190533102796596,0.29953570382501116,0.03183230649292744,0.6686319896820614,0.1478775907315445,0.8269825421925415,0.025139867075913973,0.12740783707651224,0.6059125136585475,0.2666796492649403,0.15277036942216746,0.8239193777244367,0.023310252853395875,0.20416958999056703,0.32173094554200166,0.47409946446743134,20.000000000000004,20.000000000000004,14.790398472962659,20.000000000000167,20.000000000000004,1,2001,44517.27482485771
410,0.12433330653684936,0.7050635017710521,0.8051733690847775,0.28646316151977647,119.50204299586717,51.86734679865339,0.3466832770902066,1.0733632017381896,410,8.457774378399955,400.0,,,324.5108888791874,529.8830645782873,7913.665778652765,170559,0.04639840629138752,0.019817677174302904,0.3742848885843564,0.6058974342413407,0.007292881486222962,0.5838935458541978,0.4088135726595791,0.02119396995353298,0.4108537064088827,0.5679523236375843,0.0071782612646512246,0.5742176378245366,0.4186041009108122,0.020231946811053284,0.4009158036093808,0.578852249579566,20.000000000000004,19.99999999999995,18.619884578316086,19.999999999999993,20.000000000000004,1,2001,44517.27482485771
420,0.12433310721360342,0.7050636622608216,0.8051733690847775,0.28646270228026305,122.36667231486737,53.11067886740565,0.3466841842482637,1.0733619362846283,420,8.457774378399955,410.0,,,328.34071975108236,388.2565835257992,8296.912743069232,176670,0.04696277094622308,0.5957638345444689,0.0340487821323338,0.3701873833231973,0.13807125109201648,0.839313662545878,0.02261508636210541,0.007394815373099603,0.5795805684690694,0.41302461615783104,0.13458378364668558,0.8424026129569469,0.02301360339636755,0.020109112784033108,0.3297936633361309,0.6500972238798359,20.000000000000014,20.000000000000004,14.6935675683768,20.000000000000004,20.000000000000004,1,2001,44517.27482485771
430,0.12433310721360342,0.7050636622608216,0.8051733690847775,0.28646270228026305,125.23129933767001,54.35400993954169,0.3466841842482637,1.0733619362846283,430,8.457774378399955,420.0,,,340.99380001146346,428.35431036911905,8720.213816753589,183054,0.047637384688417564,0.020003173082326804,0.3525148354338616,0.6274819914838117,0.007337400566792432,0.5759945141714817,0.416668085261726,0.00661462924060524,0.41125511247799823,0.5821302582813965,0.0072062413255654925,0.5758094723991194,0.41698428627531514,0.02015279218304525,0.34516515391583286,0.634682053901122,20.000000000000004,19.999999999999993,16.67869344350897,20.000000000000004,20.000000000000004,1,2001,44517.27482485771
440,0.12433310721360342,0.7050636622608216,0.8051733690847775,0.28646270228026305,128.09592636047265,55.59734101167773,0.3466841842482637,1.0733619362846283,440,8.457774378399955,430.0,,,365.21571207791567,261.938325622119,8975.043356001377,188750,0.04754989857484173,0.24682804949704437,0.180679497243243,0.5724924532597127,0.007311847237745017,0.5789558202307326,0.4137323325315224,0.011349965767420794,0.11916977468757178,0.8694802595450074,0.007418095533468076,0.5769578749082088,0.41562402955832317,0.1612806872419311,0.49794459407016073,0.3407747186879082,20.000000000000014,19.999999999999982,20.000000000000014,20.000000000000004,20.000000000000004,1,2001,44517.27482485771
450,0.12411738622283948,0.7052373550577373,0.8051733690847775,0.28596568246520565,130.95806828419998,56.83959347885994,0.34264951478358013,1.0691840689442864,450,8.457774378399955,440.0,,,362.59608430042863,338.6174684157595,9309.32009269856,194788,0.04779206158848882,0.0073425518232945975,0.5798388890787689,0.4128185590979364,0.008616894968340593,0.7976525783222919,0.1937305267093675,0.0064263897242443375,0.4131553960259614,0.5804182142497943,0.007326532251587363,0.5813400324530311,0.4113334352953815,0.020259534537605733,0.3348439032405607,0.6448965622218336,18.504504598956533,20.000000000000004,16.956790182219567,20.000000000000004,20.000000000000014,1,2001,44517.27482485771
460,0.12410344244829945,0.7052485822136615,0.8051733690847775,0.2859335560957757,133.81756447700488,58.08069762221563,0.34251344544003154,1.0867391552577872,460,8.457774378399955,450.0,,,394.85137603990734,347.5369168724865,9651.866041658446,200819,0.04806251421259167,0.02069142530557866,0.34495586511700077,0.6343527095774206,0.008755286805281223,0.8018326623077788,0.1894120508869399,0.010617092982967083,0.13665032827156282,0.8527325787454701,0.007466527412121511,0.5848325418550864,0.4077009307327921,0.020411395598322595,0.39113352976760607,0.5884550746340714,20.000000000000004,20.000000000000004,15.479090408370512,19.999999999999993,20.000000000000004,1,2001,44517.27482485771
470,0.12410286161153707,0.7052490498879543,0.8051733690847775,0.2859322178515038,136.67689334674128,59.32172914251481,0.34251005387888644,1.113628482343109,470,8.457774378399955,460.0,,,405.81549434922636,306.1710487548262,9955.222320497036,204547,0.04866960806316903,0.0072907969719555816,0.5734825294715192,0.4192266735565251,0.008952304472040021,0.815976964166776,0.175070731361184,0.011252092413153558,0.12092333201760333,0.8678245755692431,0.008959181895139792,0.7890573205077213,0.2019834975971389,0.019980535596124088,0.34394555020624484,0.636073914197631,18.783602593342465,20.000000000000004,15.911205922954162,20.000000000000025,19.999999999999993,1,2001,44517.27482485771
480,0.12402028595450106,0.7053155376079344,0.8051733690847775,0.2857419640535635,139.53526425626663,60.562344880345,0.34081338627192775,1.1215005355507734,480,8.457774378399955,470.0,,,406.37290067691356,293.17465402185917,10243.65809739288,210327,0.04870348598797529,0.011041078090131462,0.13019165259596388,0.8587672693139047,0.007347530649030924,0.5923215271518552,0.4003309421991139,0.011299161956371925,0.12743598494431663,0.8612648530993116,0.007253732813159036,0.5827077290073295,0.4100385381795116,0.011402507666888382,0.10607711461617098,0.8825203777169406,20.000000000000004,20.000000000000004,15.714147027500577,20.000000000000004,20.000000000000004,1,2001,44517.27482485771
