n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,surrogate.train_fit.mse,surrogate.train_fit.rmse,surrogate.train_fit.mae,surrogate.train_fit.n_points,surrogate.train_fit.n_valid,run,seed,runtime_sec
200,0.18080494865882624,0.6595940394259502,0.8051733690847775,0.7449748126714085,78.57801145741243,19.070837141894927,0.34351978355765,0.9241221592471001,200,7.620995302626974,190.0,,,70.22104070987552,39.27898089867085,205.96831317152828,28224,0.007297630143549046,0.021384017397265552,0.1462327507683062,0.07357407682451333,190.0,950.0,16,2016,9661.005103111267
210,0.18044611633254554,0.6598829616590381,0.8051733690847775,0.743496307536265,86.0203670584508,20.877092466851785,0.343037562947333,0.9498565477900349,210,7.620995302626974,200.0,,,73.04782443214208,59.524884175509214,263.2939103022218,32304,0.008150504900390718,0.022480469460864547,0.14993488406926703,0.07461786081273157,200.0,1000.0,16,2016,9661.005103111267
220,0.18044611633254554,0.6598829616590381,0.8051733690847775,0.743496307536265,93.45533013381345,22.68155363017724,0.343037562947333,0.9498565477900349,220,7.620995302626974,210.0,,,75.56374893058091,14.812265083193779,275.0655999807641,33673,0.008168728654434238,0.023700334872858275,0.15394913079604663,0.07734221949981737,210.0,1050.0,16,2016,9661.005103111267
230,0.18037303463471993,0.6599418050958948,0.8051733690847775,0.743195187326054,100.88878760812504,24.48564938501357,0.3426436189083478,0.9755763198881742,230,7.620995302626974,220.0,,,79.05910116247833,15.967702368274331,288.54404630698264,36312,0.007946244941258609,0.02197673287929564,0.148245515545313,0.07225924307259406,220.0,1100.0,16,2016,9661.005103111267
240,0.18037303463471993,0.6599418050958948,0.8051733690847775,0.743195187326054,108.32073948138559,26.289379731360768,0.3426436189083478,0.9755763198881742,240,7.620995302626974,230.0,,,82.65535741113126,11.19928112346679,298.565058757551,37654,0.007929172432080285,0.02678490982805735,0.1636609599998037,0.08085184587276945,230.0,1150.0,16,2016,9661.005103111267
250,0.1803033689421065,0.659997898056326,0.8051733690847775,0.7429081421611441,115.75125612882158,28.0927617492449,0.3423306768221405,1.0674150857275704,250,7.620995302626974,240.0,,,85.79466742277145,49.2104605184868,344.0159723944962,42695,0.008057523653694724,0.024982900454576417,0.15805980024843894,0.07829555329660601,240.0,1200.0,16,2016,9661.005103111267
260,0.1794827600677782,0.6606586304683698,0.8051733690847775,0.7395269684324162,123.16343168178938,29.891692394294324,0.337046298766137,1.0909895397781806,260,7.620995302626974,250.0,,,90.07247871160507,17.6926076579839,359.33014969713986,45231,0.007944333525616057,0.023175676874410273,0.15223559660739755,0.07332305615640798,250.0,1250.0,16,2016,9661.005103111267
270,0.1791565330527881,0.6609212997731159,0.8051733690847775,0.7381828077156694,130.5519805625298,31.684888859897157,0.3343747163504203,1.1160917754690325,270,7.620995302626974,260.0,,,94.74931591842324,17.150717911310494,373.68900987971574,48054,0.0077764392117142325,0.0221315700661562,0.14876683120291365,0.07020620041479894,260.0,1300.0,16,2016,9661.005103111267
280,0.1791565330527881,0.6609212997731159,0.8051733690847775,0.7381828077156694,137.93380863968648,33.47645419042504,0.3343747163504203,1.1160917754690325,280,7.620995302626974,270.0,,,97.43558117188513,9.973239745013416,382.50717059802264,49380,0.007746196245403456,0.022586863334214176,0.15028926553222016,0.0697225160140607,270.0,1350.0,16,2016,9661.005103111267
290,0.1791565330527881,0.6609212997731159,0.8051733690847775,0.7381828077156694,145.31563671684316,35.26801952095292,0.3343747163504203,1.1160917754690325,290,7.620995302626974,280.0,,,98.95364067144692,25.871150738559663,405.4608683735132,53366,0.007597737667681918,0.023578571762777816,0.15355315614723722,0.07193168073131849,280.0,1400.0,16,2016,9661.005103111267
