n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,surrogate.train_fit.mse,surrogate.train_fit.rmse,surrogate.train_fit.mae,surrogate.train_fit.n_points,surrogate.train_fit.n_valid,run,seed,runtime_sec
105,0.4852247313149354,0.44418191870393,27.22090959351965,29.73614635688874,7.125342879474365,6.64011814815943,105,7.125342879474365,45.0,,,15.061918715015054,11.515040915925056,90.81096197292209,12277,0.007396836521375,0.0049133190462369,0.0700950714832147,0.0454552440586953,45.0,270.0,31,2031,1747.9341533184052
115,0.4852247313149354,0.44418191870393,31.66272878055895,34.588393670038094,7.125342879474365,6.64011814815943,115,7.125342879474365,50.0,,,18.84573182184249,30.843535807915032,117.72976415976882,17310,0.0068012573171443,0.0043547189191539,0.0659902941284091,0.0450213447861005,50.0,300.0,31,2031,1747.9341533184052
125,0.4852247313149354,0.44418191870393,36.10454796759825,39.44064098318745,7.125342879474365,6.64011814815943,125,7.125342879474365,57.0,,,18.234888968989253,34.5154564906843,147.29013326158747,22393,0.0065775078489522,0.0046869608655462,0.068461382293569,0.0452536274536374,57.0,342.0,31,2031,1747.9341533184052
135,0.4852247313149354,0.44418191870393,40.54636715463755,44.292888296336805,7.125342879474365,6.64011814815943,135,7.125342879474365,64.0,,,20.725022604689,16.39765732595697,161.897737884894,24804,0.0065270818369978,0.0054228907314078,0.0736402792730161,0.0473656592484983,64.0,384.0,31,2031,1747.9341533184052
145,0.4852247313149354,0.44418191870393,44.98818634167685,49.14513560948616,7.125342879474365,6.64011814815943,145,7.125342879474365,65.0,,,28.339973345864564,39.157186387106776,194.98599111940712,29942,0.0065121231420548,0.0050307286625471,0.0709276297541879,0.0455112368261179,65.0,390.0,31,2031,1747.9341533184052
155,0.4852247313149354,0.44418191870393,49.43000552871615,53.99738292263552,7.125342879474365,6.64011814815943,155,7.125342879474365,74.0,,,26.91255614766851,28.84722342900932,220.65975309396163,34069,0.0064768485454213,0.0039211569967484,0.0626191424146678,0.0399373524535819,74.0,444.0,31,2031,1747.9341533184052
165,0.4852247313149354,0.44418191870393,53.87182471575545,58.84963023578487,7.125342879474365,6.64011814815943,165,7.125342879474365,79.0,,,29.14509729668498,14.18154477281496,233.08236231235787,36381,0.0064067057615886,0.00418454044254,0.0646880239498784,0.0403814915802065,79.0,474.0,31,2031,1747.9341533184052
175,0.4852247313149354,0.44418191870393,58.31364390279475,63.70187754893423,7.125342879474365,6.64011814815943,175,7.125342879474365,84.0,,,34.97115513589233,22.817055416759104,253.10448900051412,39519,0.0064046278752122,0.0060965336058194,0.0780803022907791,0.0534427456425937,84.0,504.0,31,2031,1747.9341533184052
185,0.4852247313149354,0.44418191870393,62.75546308983405,68.55412486208358,7.125342879474365,6.64011814815943,185,7.125342879474365,88.0,,,35.35079996008426,26.867072918917984,276.5352347022854,44045,0.0062784705347323,0.0040209626650266,0.0634110610621413,0.0395951778212533,88.0,528.0,31,2031,1747.9341533184052
195,0.1531089363068822,0.1401581920921669,65.67716364381454,71.74579320019267,6.793227084466312,6.64011814815943,195,6.793227084466312,95.0,,,39.68399303779006,50.59972676215693,317.5576587636024,49349,0.0064349360425459,0.0039899074818227,0.0631657144487636,0.0402580463299066,95.0,570.0,31,2031,1747.9341533184052
