x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,run,seed
2.0,2.0,2.0,4.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,24.0,6.0,13.0,0.8659236712529016,0.4116176218658095,0.21743529065338463,0.1884076915383992,0.5365687225127181,0.4641769680616028,0.3275412481050467,0.4494827769600681,0.12873739172327592,-10.678845369241367,68.8352056302233,29,2029
2.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,17.0,9.0,0.0,0.7294683412418763,0.3906517740251312,0.5,0.01408720052429746,0.5893656697624817,0.4710746257298829,0.5682596373034103,0.2822444191459672,0.5126375327669532,-7.7019637302172335,60.91914459736006,29,2029
1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,0.0,0.4622001363265822,0.20960626527970927,0.5,0.4796853535470239,0.8350370060382947,0.5,0.057204812046293574,0.3533145742273157,0.5,-6.806141053059173,42.1543967424073,29,2029
0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3635514961836851,0.5,0.5,0.06711197961199222,0.5,0.5,0.509412773971985,0.5,0.5,-3.504152016716879,19.884336354145635,29,2029
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.6951762114670608,0.5,0.5,0.05289159941167754,0.5,0.5,0.6814609202692731,0.5,0.5,-3.587836165366874,24.289004873013575,29,2029
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.25163880208662825,0.5,0.5,0.07270839778230198,0.5,0.5,0.4841210773477529,0.5,0.5,-3.3713313679375854,18.28423145778948,29,2029
2.0,2.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,11.0,16.0,40.0,0.45351592566559995,0.9516042676484664,0.5828319256284412,0.24398781406745496,0.6213638100137411,0.12167053833636943,0.357964774439672,0.323120885324522,0.31976256119468416,-11.09796917998186,70.58366531425466,29,2029
1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.8262392113316094,0.5,0.5,0.6686475191349428,0.1178193725065283,0.5,0.08949279041767488,0.2906412161115802,0.5,-4.398045128817206,34.77830402941752,29,2029
2.0,2.0,2.0,1.0,0.0,4.0,0.0,1.0,0.0,3.0,2.0,0.0,45.0,31.0,9.0,0.565967440866463,0.07929613302455385,0.5927219459711113,0.029578406462597573,0.07439146753612813,0.0736694378925904,0.33606698995248774,0.9911113588583953,0.9128272900586115,-11.300390408423915,71.7513539870504,29,2029
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.17445170980411062,0.23561650633810038,0.5,0.8076843322353409,0.18469531142558682,0.5,0.2062129959132868,0.5,0.5,-3.8359197918660772,29.793195597233137,29,2029
1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.7690660196809644,0.5,0.5,0.01644530527579613,0.12296720128668837,0.5,0.03996755784166495,0.16087846875644263,0.5,-4.336371560906012,33.18178899735901,29,2029
