problem,model,cv_folds,fold,budget,weight_name,weight_value
mdgnc,MG LdWLOA,10,1,50,f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type,0.0128482972452191
mdgnc,MG LdWLOA,10,1,50,f0_failure_rate.sizing,0.3607274639091538
mdgnc,MG LdWLOA,10,1,50,f0_failure_rate.interaction.graph_0_mg_ld_wloa_adsg_semantic_type_sizing,0.626424238845627
mdgnc,MG LdWLOA,10,1,50,f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type,0.0121546669052276
mdgnc,MG LdWLOA,10,1,50,f1_mass.sizing,0.8791497306032491
mdgnc,MG LdWLOA,10,1,50,f1_mass.interaction.graph_0_mg_ld_wloa_adsg_semantic_type_sizing,0.1086956024915232
mdgnc,MG LdWLOA,10,1,75,f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type,0.0136548157809971
mdgnc,MG LdWLOA,10,1,75,f0_failure_rate.sizing,0.1834117630862619
mdgnc,MG LdWLOA,10,1,75,f0_failure_rate.interaction.graph_0_mg_ld_wloa_adsg_semantic_type_sizing,0.8029334211327409
mdgnc,MG LdWLOA,10,1,75,f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type,0.0121476348891715
mdgnc,MG LdWLOA,10,1,75,f1_mass.sizing,0.8784430992048661
mdgnc,MG LdWLOA,10,1,75,f1_mass.interaction.graph_0_mg_ld_wloa_adsg_semantic_type_sizing,0.1094092659059623
mdgnc,MG LdWLOA,10,1,100,f0_failure_rate.graph_0.mg_ld_wloa_adsg_semantic_type,0.0141626915689077
mdgnc,MG LdWLOA,10,1,100,f0_failure_rate.sizing,0.5196179276337187
mdgnc,MG LdWLOA,10,1,100,f0_failure_rate.interaction.graph_0_mg_ld_wloa_adsg_semantic_type_sizing,0.4662193807973736
mdgnc,MG LdWLOA,10,1,100,f1_mass.graph_0.mg_ld_wloa_adsg_semantic_type,0.012167884742717
mdgnc,MG LdWLOA,10,1,100,f1_mass.sizing,0.8799091969969968
