n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_diagnostics.f0_failure_rate.graph_0.esp_semantic_type.sigma,kernel_diagnostics.f1_mass.graph_0.esp_semantic_type.sigma,run,seed,runtime_sec
170,0.1978301142426742,0.5253829601797597,0.6549522358144216,0.3958042006123991,67.87023487273227,33.922773678943976,1.1010788112642005,0.9510263020791052,170,-10.418504361906878,160.0,,,38.20924278534949,69.44973615277559,890.9175880169496,69114,0.0128905516685034,5.232769017489903,20.000000000000004,3,55,1581.881831407547
180,0.1978196010953604,0.5253898457890983,0.6549522358144216,0.3957831666667616,71.82817170912807,35.901022255634146,1.098263539843999,1.0700285694871217,180,-10.418504361906878,170.0,,,39.699101680889726,53.40356650017202,940.606074676849,73903,0.0127275763457078,5.468287376781337,20.000000000000004,3,55,1581.881831407547
190,0.1978196010953604,0.5253898457890983,0.6549522358144216,0.3957831666667616,75.78600337579569,37.87921826658775,1.089296287446624,1.081151669100043,190,-10.418504361906878,180.0,,,39.83884143922478,58.56934478506446,995.2978315856308,79037,0.012592808831125,5.65420939477488,20.000000000000004,3,55,1581.881831407547
200,0.1978174485120928,0.5253912556283222,0.6549522358144216,0.3957788599336701,79.74381350879784,39.85740351462501,1.0800293732069837,1.0919384783653352,200,-10.418504361906878,190.0,,,41.666760347783566,59.169875897467136,1050.5221993168816,84126,0.0124874854303887,5.509754998262106,20.000000000000004,3,55,1581.881831407547
30,0.6213873249054238,0.2479732180608718,0.6549522358144216,1.0,0.0,0.0,3.319833663474882,0.7228243465026919,30,-3.5164359751911767,,,,,,0.0,0,,,,4,56,1735.2809326648712
40,0.5962867019345898,0.2644129271959544,0.6549522358144216,0.9596055117882324,9.79802755894116,6.088370134200067,3.2612371558137947,0.8670460114343637,40,-3.5164359751911767,30.0,,,11.081443739123642,61.85014012083411,57.86505930591375,5200,0.011127896020368,11.054671921818942,19.999999999999996,4,56,1735.2809326648712
50,0.465729232205435,0.349921833897338,0.6549522358144216,0.7494990862202086,18.34355054898337,11.398449804900192,2.8905407305541218,1.0417728046443382,50,-3.5164359751911767,40.0,,,12.72874662745744,59.14836709946394,113.0686672758311,10345,0.0109297890068468,11.02747267615302,19.999999999999996,4,56,1735.2809326648712
60,0.4301297112420219,0.3732378197462478,0.6549522358144216,0.6922086981859316,25.552089471014067,15.877744522137476,2.87268940727531,1.0901177753711484,60,-3.5164359751911767,50.0,,,13.996220375411212,74.9452420193702,183.98663493804636,15643,0.0117615952782743,11.217651408046844,20.00000000000001,4,56,1735.2809326648712
70,0.2865007580849087,0.4673079237441839,0.6549522358144216,0.4610663053491068,31.31846448868926,19.46089686877213,2.797202752686788,1.085229968787911,70,-3.5164359751911767,60.0,,,15.794920988380907,80.38346330076456,260.3977931244299,20882,0.0124699642335231,10.15366301727131,20.000000000000004,4,56,1735.2809326648712
80,0.2862973004274798,0.4674411787918105,0.6549522358144216,0.4607388804898052,35.92749041788382,22.324887161334075,2.7966025413271303,1.0652140204792255,80,-3.5164359751911767,70.0,,,19.14565357845277,75.29972613137215,331.66026485618204,26113,0.0127009636907357,20.000000000000004,20.000000000000004,4,56,1735.2809326648712
90,0.283494681193737,0.4692767605250869,0.6549522358144216,0.4562286191416688,40.51232791604119,25.17384706944016,2.5084752784012325,1.0545354888680218,90,-4.004231576322056,80.0,,,22.852810232900083,43.27450604084879,371.75748068094254,30140,0.0123343556961162,20.00000000000001,20.000000000000025,4,56,1735.2809326648712
100,0.2279628917046335,0.505647430209751,0.6549522358144216,0.366861187165879,44.62777694757892,27.73113493393201,2.1739469512132263,0.9061884666121915,100,-4.004231576322056,90.0,,,22.79409795440733,91.02226347476244,458.7222849801183,35674,0.0128587286253326,20.000000000000004,20.00000000000001,4,56,1735.2809326648712
110,0.225128825372731,0.507503608290277,0.6549522358144216,0.362300317932935,48.273584473072994,29.99659351931884,1.527492954896052,0.837886750415436,110,-4.004231576322056,100.0,,,23.88717094995081,63.47234664764255,518.6546696340665,40295,0.0128714398717971,20.000000000000004,20.000000000000004,4,56,1735.2809326648712
120,0.2232818190009041,0.5087133092430685,0.6549522358144216,0.3593279264827103,51.88172569515122,32.23864674118701,1.3011751639837856,0.9069093795924056,120,-4.004231576322056,110.0,,,26.22722698934376,50.74140605144203,564.1351994527504,44874,0.0125715380722188,18.01042766441489,20.000000000000004,4,56,1735.2809326648712
130,0.2232436105045832,0.5087383339831609,0.6549522358144216,0.3592664374648474,55.47469751488901,34.47127388871445,1.3011751639837856,0.9653540194594152,130,-4.004231576322056,120.0,,,30.08932171948254,97.5045899823308,657.5395219260827,50732,0.0129610408011922,20.000000000000004,20.000000000000004,4,56,1735.2809326648712
140,0.2072572226094059,0.5192086544777039,0.6549522358144216,0.3335395079726655,58.938727242076574,36.6237780542844,1.27380362418905,1.0390270792661749,140,-4.004231576322056,130.0,,,31.609022364020348,88.93777222558856,742.4039988219738,56197,0.0132107407659123,20.000000000000004,20.000000000000004,4,56,1735.2809326648712
150,0.2065696561594453,0.5196589776613766,0.6549522358144216,0.3324330057599511,62.268589810739655,38.69291244812865,1.2409369928307574,1.012254580131666,150,-4.004231576322056,140.0,,,32.09513920824975,92.964195901528,831.1940079685301,61635,0.0134857468640955,20.000000000000004,20.000000000000004,4,56,1735.2809326648712
160,0.2065696561594453,0.5196589776613766,0.6549522358144216,0.3324330057599511,65.59291986833917,40.7586090097231,1.2409369928307574,1.012254580131666,160,-4.004231576322056,150.0,,,34.09622544795275,71.23159622773528,898.3134275404736,66846,0.0134385517090098,19.999999999999996,20.000000000000004,4,56,1735.2809326648712
