n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,run,seed,runtime_sec
115,0.6549484060462936,1.0,40.0,26.197936241851743,7.295066554205723,6.64011814815943,115,7.295066554205723,52.0,0.2517312549753114,47.500674692040775,147.57707435369957,21671,0.0068098876080337,10,2010,1690.7508268356323
125,0.6549484060462936,1.0,50.0,32.74742030231468,7.295066554205723,6.64011814815943,125,7.295066554205723,62.0,0.28237019298831,65.80549331498332,191.9016142288456,27363,0.0070131788995667,10,2010,1690.7508268356323
135,0.6549484060462936,1.0,60.0,39.29690436277762,7.295066554205723,6.64011814815943,135,7.295066554205723,66.0,0.2947371749905869,56.34937391197309,231.5949284816743,32866,0.007046641772095,10,2010,1690.7508268356323
145,0.6549484060462936,1.0,70.0,45.84638842324056,7.295066554205723,6.64011814815943,145,7.295066554205723,75.0,0.3229588009999133,54.35539900901495,270.5757087975508,38320,0.0070609527348003,10,2010,1690.7508268356323
155,0.3217269421364337,0.4912248646860485,77.45612432343025,50.72976516415419,6.961845090295864,6.64011814815943,155,6.961845090295864,85.0,0.3563234420143999,63.89571739803068,314.9982292430359,43923,0.0071716009663054,10,2010,1690.7508268356323
165,0.3217269421364337,0.4912248646860485,82.36837297029074,53.94703458551852,6.961845090295864,6.64011814815943,165,6.961845090295864,92.0,0.3791940460214391,47.67140603001462,351.4046266327496,49212,0.0071406288432242,10,2010,1690.7508268356323
175,0.288461894183329,0.4404345312093785,87.02666994976786,56.99797876711734,6.928580042342759,6.64011814815943,175,6.928580042342759,102.0,0.4238168979645706,56.88323812099407,392.4313518345007,54683,0.0071764780980286,10,2010,1690.7508268356323
185,0.288461894183329,0.4404345312093785,91.43101526186165,59.88259770895063,6.928580042342759,6.64011814815943,185,6.928580042342759,108.0,0.4463319719652645,56.75461692200042,433.4940898013883,60152,0.0072066446635421,10,2010,1690.7508268356323
195,0.1682955521818234,0.2569600149083008,94.91798799245004,62.16638494077639,6.808413700341253,6.64011814815943,195,6.808413700341253,115.0,0.4751568039646372,48.73652732599294,471.1662755860016,65436,0.0072004137720215,10,2010,1690.7508268356323
205,0.1682955521818234,0.2569600149083008,97.48758814153304,63.84934046259463,6.808413700341253,6.64011814815943,205,6.808413700341253,124.0,0.5170064539997838,69.7778099779971,519.3914608184132,71133,0.0073016948648083,10,2010,1690.7508268356323
