sample_id,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,is_active0,is_active1,is_active2,is_active3,is_active4,is_active5,is_active6,is_active7,is_active8,is_active9,is_active10,is_active11,is_active12,is_active13,is_active14,is_active15,is_active16,is_active17,is_active18,is_active19,is_active20,is_active21,is_active22,is_active23,is_active24,is_active25,is_active26,is_active27,is_active28,is_active29,f0,f1,cv,is_feasible
814,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4932916732504964,0.5,0.5,0.7770022926852107,0.33728942926973104,0.5,0.9064649734646082,0.6004202039912343,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.140721206821759,37.43041812075263,0.0,True
815,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9211898865178227,0.5,0.5,0.47758718580007553,0.8472888832911849,0.5,0.36802023090422153,0.02940142061561346,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.532815310883599,36.273921972825605,0.0,True
816,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887650647200644,0.5,0.5,0.7410172400996089,0.14654593728482723,0.5,0.19763819593936205,0.5678651221096516,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.479672990907079,35.43386467293075,0.0,True
817,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4634756976738572,0.5,0.5,0.004302404820919037,0.6688765194267035,0.5,0.5180806489661336,0.060247501358389854,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.126146255071258,29.01271050377276,0.0,True
818,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20590136852115393,0.5,0.5,0.913812349550426,0.9601728450506926,0.5,0.2845543771982193,0.2609745189547539,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.033551378427042,34.813852159436735,0.0,True
819,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6296190610155463,0.5,0.5,0.33308619260787964,0.48221720568835735,0.5,0.9956060647964478,0.8632318619638681,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.221326037235988,38.81978908429801,0.0,True
820,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5625208122655749,0.5,0.5,0.391791008412838,0.3117944663390517,0.5,0.4971561571583152,0.4871466960757971,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.1785020063160125,32.34233761753947,0.0,True
821,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021882559172809124,0.5,0.5,0.8472720561549067,0.7555955713614821,0.5,0.7870657732710242,0.8848628886044025,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.000967409335915,39.65212966112256,0.0,True
822,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27944542188197374,0.5,0.5,0.1877555251121521,0.6234155287966132,0.5,0.019611643627285957,0.6841587666422129,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.0543990461972115,29.636276991745145,0.0,True
823,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8206020267680287,0.5,0.5,0.5497135622426867,0.06700694467872381,0.5,0.7001610118895769,0.19175707548856735,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.3918233209245825,33.765545370147905,0.0,True
