n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,run,seed,runtime_sec
175,0.04620247534534894,0.08642185876771392,25.913850480903008,13.853949163082216,6.686320623504779,6.64011814815943,175,6.686320623504779,80.0,,,0.004252609796822071,8.443289774935693,13.882060830947012,52626,0.0002637871172224188,3,2003,304.38094186782837
185,0.04620247534534894,0.08642185876771392,26.778069068580148,14.315973916535706,6.686320623504779,6.64011814815943,185,6.686320623504779,90.0,,,0.004110091365873814,14.801748394034803,15.420069053769112,58024,0.0002657532926680186,3,2003,304.38094186782837
195,0.04620247534534894,0.08642185876771392,27.642287656257288,14.777998669989195,6.686320623504779,6.64011814815943,195,6.686320623504779,94.0,,,0.00398582499474287,12.876153961289674,16.890721476636827,63341,0.00026666332196581717,3,2003,304.38094186782837
205,0.04620247534534894,0.08642185876771392,28.506506243934428,15.240023423442684,6.686320623504779,6.64011814815943,205,6.686320623504779,100.0,,,0.0038313507102429867,6.71372327581048,18.134996248409152,68410,0.0002650927678469398,3,2003,304.38094186782837
215,0.04620247534534894,0.08642185876771392,29.370724831611568,15.702048176896174,6.686320623504779,6.64011814815943,215,6.686320623504779,105.0,,,0.003737102262675762,14.290038705337793,19.6727950675413,73784,0.0002666268441334341,3,2003,304.38094186782837
225,0.04620247534534894,0.08642185876771392,30.234943419288708,16.16407293034966,6.686320623504779,6.64011814815943,225,6.686320623504779,107.0,,,0.0036693918518722057,10.072876651305705,21.05305268941447,78990,0.00026652807557177457,3,2003,304.38094186782837
235,0.04620247534534894,0.08642185876771392,31.099162006965848,16.626097683803152,6.686320623504779,6.64011814815943,235,6.686320623504779,117.0,,,0.0036756391637027264,11.39572083298117,22.49548188969493,84247,0.0002670181951843381,3,2003,304.38094186782837
245,0.04620247534534894,0.08642185876771392,31.963380594642988,17.088122437256644,6.686320623504779,6.64011814815943,245,6.686320623504779,127.0,,,0.003678492270410061,11.626402988098562,23.95668664481491,89511,0.00026763958222804916,3,2003,304.38094186782837
255,0.04620247534534894,0.08642185876771392,32.82759918232013,17.550147190710135,6.686320623504779,6.64011814815943,255,6.686320623504779,130.0,,,0.00369107723236084,10.68668316397816,25.387606150005013,94740,0.0002679713547604498,3,2003,304.38094186782837
265,0.04620247534534894,0.08642185876771392,33.691817769997265,18.012171944163626,6.686320623504779,6.64011814815943,265,6.686320623504779,139.0,,,0.0037164161913096905,8.496379852760583,26.726569486316293,99881,0.00026758411996592236,3,2003,304.38094186782837
275,0.04620247534534894,0.08642185876771392,34.5560363576744,18.474196697617117,6.686320623504779,6.64011814815943,275,6.686320623504779,144.0,,,0.003730535041540861,11.139124618843198,28.187952489592135,105127,0.00026813237788191556,3,2003,304.38094186782837
285,0.04620247534534894,0.08642185876771392,35.42025494535154,18.936221451070608,6.686320623504779,6.64011814815943,285,6.686320623504779,149.0,,,0.0036846869625151157,10.785705242771655,29.637588030193,110358,0.0002685585823428569,3,2003,304.38094186782837
295,0.04620247534534894,0.08642185876771392,36.284473533028674,19.3982462045241,6.686320623504779,6.64011814815943,295,6.686320623504779,151.0,,,0.003662373870611191,14.484709039796144,31.256028870586306,115735,0.0002700654846899063,3,2003,304.38094186782837
305,0.04620247534534894,0.08642185876771392,37.14869212070581,19.86027095797759,6.686320623504779,6.64011814815943,305,6.686320623504779,158.0,,,0.003670007921755314,14.071767806075513,32.87263069674373,121094,0.00027146374466731403,3,2003,304.38094186782837
