n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_failure_rate.graph_0.esp_semantic_type,kernel_weight.f0_failure_rate.graph_1.edge_weight,kernel_weight.f0_failure_rate.sizing,kernel_weight.f0_failure_rate.interaction.graph_0_esp_semantic_type_graph_1_edge_weight,kernel_weight.f0_failure_rate.interaction.graph_0_esp_semantic_type_sizing,kernel_weight.f0_failure_rate.interaction.graph_1_edge_weight_sizing,kernel_weight.f1_mass.graph_0.esp_semantic_type,kernel_weight.f1_mass.graph_1.edge_weight,kernel_weight.f1_mass.sizing,kernel_weight.f1_mass.interaction.graph_0_esp_semantic_type_graph_1_edge_weight,kernel_weight.f1_mass.interaction.graph_0_esp_semantic_type_sizing,kernel_weight.f1_mass.interaction.graph_1_edge_weight_sizing,kernel_diagnostics.f0_failure_rate.graph_0.esp_semantic_type.sigma,kernel_diagnostics.f1_mass.graph_0.esp_semantic_type.sigma,run,seed,runtime_sec
30,0.6549550155299092,0.2091810187229267,0.606242745548614,1.0,0.0,0.0,7.055303369891127,0.8448391265303626,30,-3.648979466212526,,,,,,0.0,0,,,,,,,,,,,,,,,,17,2017,3173.0285692214966
40,0.4388041298527024,0.3402209251086411,0.606242745548614,0.6699759822400565,8.349879911200283,5.468795726913058,6.979289561708682,0.996565539842216,40,-7.477033860594162,30.0,,,24.998750938102603,59.93080761283636,56.792123024351895,5189,0.0109447144005303,0.1821146805394213,0.3383219414763735,0.0651025542929218,0.4108185300804948,0.0018211468053942,0.0018211468053942,0.1487023847168074,0.123776749558327,0.2672809312993638,0.2511920915223714,0.001487023847168,0.2075608190559622,10.836338929163418,20.000000000000025,17,2017,3173.0285692214966
50,0.3958282723952364,0.3662747269259612,0.606242745548614,0.6043594796735479,14.721557220768306,9.641957738152753,6.877070970349047,1.187330054059664,50,-8.645893651918788,40.0,,,27.772287524305284,72.68412807304412,126.13759767543525,10415,0.0121111471603874,0.0034339111937379,0.1058769618363368,0.1574925453965185,0.2633799243280688,0.1458419706049453,0.3239746866403923,0.0034087304729431,0.1064463507378443,0.1576188943396137,0.2622004840764924,0.1477450083209676,0.3225805320521388,9.731789790119334,19.999999999999982,17,2017,3173.0285692214966
60,0.3559073199457863,0.3904765147438315,0.606242745548614,0.5434072745558407,20.460390991915247,13.400635699857864,2.0007908260998715,1.0525633330317716,60,-8.645893651918788,50.0,,,32.276805290952325,50.90354809630662,174.60061456263065,14422,0.0121065465651525,0.0031182088966179,0.2773878731157188,0.2520691551094661,0.1563986316331379,0.1785711833887158,0.1324549478563432,0.0030867394476052,0.2734491860053692,0.252129491696687,0.1532039059338305,0.180338282546448,0.1377923943700601,10.706562922242783,20.000000000000004,17,2017,3173.0285692214966
70,0.3240334327937391,0.4097998276021953,0.606242745548614,0.4947415091272659,25.65113491033078,16.800339463555492,1.753268845293496,1.0505010556717524,70,-6.739733576211808,60.0,,,37.961674003861845,85.65550797525793,255.9591177869588,19830,0.0129076710936439,0.0066636989729143,0.2926204844435728,0.0762745957419396,0.2592882559020178,0.2328092596556684,0.1323437052838869,0.0031179509813974,0.2770918443181189,0.2586509836780636,0.1541245267806801,0.1731056594481225,0.1339090347936173,11.35491472989766,20.000000000000004,17,2017,3173.0285692214966
80,0.1678453392289594,0.5044877262669112,0.606242745548614,0.2562700265653505,29.40619258879386,19.259733323668986,1.6873643201066475,1.0838634836154262,80,-6.739733576211808,70.0,,,41.18203647714108,92.26527530048044,339.12723982706666,24994,0.0135683459961217,0.0030614811754781,0.2396791725117268,0.1684188730753215,0.2788213841042111,0.0523879256700837,0.2576311634631787,0.0030556897339132,0.239871314413203,0.1666126585946421,0.2771951551680473,0.0520463450546036,0.2612188370355905,10.68815245887648,20.000000000000004,17,2017,3173.0285692214966
90,0.1676201144527468,0.5046242671536079,0.606242745548614,0.2559261483281095,31.96717346326116,20.937060592077515,1.6004620179127746,1.023161687436711,90,-6.739733576211808,80.0,,,42.82296733278781,48.93076939228922,385.0248314132914,30062,0.0128076918173538,0.0030541806802875,0.239426143590328,0.1687059203942005,0.2793506890386054,0.0506109911738633,0.2588520751227151,0.00300819667194,0.2400009665254275,0.175191443323057,0.2739866944069248,0.0477441381305101,0.2600685609421403,11.954761856380452,20.000000000000004,17,2017,3173.0285692214966
100,0.1664812897210944,0.5053146713856235,0.606242745548614,0.2541873651985064,34.51774103089424,22.60756761294672,1.3946401054871074,1.0737900057029568,100,-6.739733576211808,90.0,,,47.25599986407906,46.747305450960994,429.05875628534704,34630,0.0123897994884593,0.0030750954361369,0.2421780324565219,0.1684059806986939,0.2790504509122877,0.0496417458154423,0.2576486946809171,0.0030652646079975,0.2410843379570787,0.1703913602671561,0.2782818110980255,0.0510035467769415,0.2561736792928006,12.34586892278163,20.00000000000001,17,2017,3173.0285692214966
110,0.1664812897210944,0.5053146713856235,0.606242745548614,0.2541873651985064,37.05961468287931,24.272380510157664,1.3946401054871074,1.0737900057029568,110,-6.739733576211808,100.0,,,51.046550559811294,78.49842372816056,504.3249575160444,40005,0.0126065481193861,0.0030578613322288,0.239056387177305,0.169544913192006,0.2785405010285771,0.0511686332614444,0.2586317040084386,0.00304235453884,0.2382758465857878,0.1713975774486041,0.277944903630353,0.0501660288526333,0.2591732889437814,11.85824686823847,20.000000000000004,17,2017,3173.0285692214966
120,0.1664812897210944,0.5053146713856235,0.606242745548614,0.2541873651985064,39.60148833486437,25.937193407368607,1.3946401054871074,1.0737900057029568,120,-6.739733576211808,110.0,,,57.82967369724065,99.1672693323344,599.9319008607417,46166,0.0129951024749976,0.2280016518797733,0.1810189040439018,0.0022800165187977,0.5444271666696808,0.0419922443690485,0.0022800165187977,0.1345796135349508,0.095764663937553,0.2549705132188921,0.3130617000779337,0.0013457961353495,0.2002777130953207,9.986119770890667,20.00000000000001,17,2017,3173.0285692214966
