n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.reference_mdgnc_edge_failures,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,run,seed,runtime_sec
250,0.44393019656931915,0.3728838279414651,0.6705701795726954,0.7218742806332894,180.25532414183354,110.85140948469513,2.0249830123142925,0.8712985928976849,250,-8.135155283724755,,,,,,,,,9,2009,7.467558622360229
30,0.6816842242491568,0.2134530669060648,0.6705701795726954,1.0,0.0,0.0,3.88644405902953,0.7780300991923349,30,-4.126848689674587,,,,,,,,,10,2010,7.567840576171875
40,0.6727857492858738,0.2194201188601166,0.6705701795726954,0.9869463387199781,9.93473169359989,6.772349867675152,3.5949964415055904,0.6575139868428832,40,-4.126848689674587,,,,,,,,,10,2010,7.567840576171875
50,0.6576474701495174,0.2295713974190047,0.6705701795726954,0.9647391662523587,19.693159218461574,13.424515964852109,3.410155942202941,0.7668920666531642,50,-4.126848689674587,,,,,,,,,10,2010,7.567840576171875
60,0.6511521245244143,0.2339269825012168,0.6705701795726954,0.955210787284432,29.292908986145527,19.96851393822177,3.2999580857124853,0.8545802429818882,60,-4.126848689674587,,,,,,,,,10,2010,7.567840576171875
70,0.6454228037198461,0.2377688941819657,0.6705701795726954,0.9468061321658853,38.80299358339711,26.45138857944307,3.2537003663054014,0.7911868921787446,70,-4.126848689674587,,,,,,,,,10,2010,7.567840576171875
80,0.645236485736439,0.2378938334655566,0.6705701795726954,0.9465328120907254,48.269688304680166,32.90468502672449,3.2532302641963127,0.807709171095891,80,-3.5495020626547515,,,,,,,,,10,2010,7.567840576171875
90,0.6422486221336521,0.2398974056982161,0.6705701795726954,0.942149750995131,57.71310112010945,39.34211056607495,3.2063840526536382,0.6042610157971,90,-6.960970923037293,,,,,,,,,10,2010,7.567840576171875
100,0.6378984025749852,0.242814533208852,0.6705701795726954,0.935768175180525,67.10269075098773,45.742845689618136,3.170157115204728,0.6660989944631,100,-6.960970923037293,,,,,,,,,10,2010,7.567840576171875
110,0.6365137270786023,0.2437430553051114,0.6705701795726954,0.933736918702633,76.45021622040352,52.114906337886076,3.1983879475127246,0.665727769072041,110,-6.960970923037293,,,,,,,,,10,2010,7.567840576171875
120,0.6307079486917976,0.2476362371605103,0.6705701795726954,0.925220103760642,85.7450013327199,58.45101471673807,3.1806834413992817,0.5794391885764487,120,-6.960970923037293,,,,,,,,,10,2010,7.567840576171875
130,0.6178923611168117,0.2562299880219982,0.6705701795726954,0.9064202150158178,94.90320292660219,64.69401626578112,3.129989394780828,0.6421849694465827,130,-3.31727109234311,,,,,,,,,10,2010,7.567840576171875
140,0.6169101758838978,0.2568886121500069,0.6705701795726954,0.9049793935944396,103.96020096965347,70.86802895078466,3.1610166532651003,0.8076457586673266,140,-3.31727109234311,,,,,,,,,10,2010,7.567840576171875
150,0.6084984586308579,0.2625292588988926,0.6705701795726954,0.8926397839132781,112.94829685719206,76.99507212335844,2.9923416042636264,0.7763109907413703,150,-10.705942028194793,,,,,,,,,10,2010,7.567840576171875
160,0.6067535841523615,0.2636993196912698,0.6705701795726954,0.8900801317804767,121.86189643566084,83.07133233727454,2.9461732710084445,0.7987609925057821,160,-10.705942028194793,,,,,,,,,10,2010,7.567840576171875
170,0.6045143849146526,0.2652008599261993,0.6705701795726954,0.8867953275293952,130.7462737322102,89.12767218260961,2.911466684405162,0.7500217272218781,170,-10.705942028194793,,,,,,,,,10,2010,7.567840576171875
180,0.6007851191529417,0.2677015943377041,0.6705701795726954,0.8813246629180519,139.58687368444743,95.15416970294758,2.9161711205040857,0.7026262709882576,180,-10.705942028194793,,,,,,,,,10,2010,7.567840576171875
190,0.5983746658767051,0.2693179724240017,0.6705701795726954,0.8777886367192768,148.38244018263407,101.14996862809582,2.91734883450657,0.7263931078080895,190,-10.705942028194793,,,,,,,,,10,2010,7.567840576171875
200,0.5730055059538626,0.2863297745490706,0.6705701795726954,0.8405732237459379,156.97424948496015,107.00686948724866,2.803391061290605,0.7383471986038649,200,-10.705942028194793,,,,,,,,,10,2010,7.567840576171875
210,0.5712915844713076,0.287479079185401,0.6705701795726954,0.8380589782616115,165.3674104949979,112.72835493937451,2.491256903440103,0.7605204526228833,210,-10.705942028194793,,,,,,,,,10,2010,7.567840576171875
220,0.556506314705855,0.2973936401870513,0.6705701795726954,0.8163696546136455,173.63955365937417,118.36734443526032,2.4228927213378566,0.7468962181798283,220,-10.705942028194793,,,,,,,,,10,2010,7.567840576171875
230,0.5529566387222672,0.2997739470487906,0.6705701795726954,0.8111624401038809,181.7772141329618,123.91465920240093,1.966795801861232,0.7281115568904131,230,-10.705942028194793,,,,,,,,,10,2010,7.567840576171875
240,0.5516949280597048,0.3006200125943539,0.6705701795726954,0.8093115674891419,189.8795841709269,129.43791703631078,1.9592457604065625,0.7207619052982325,240,-10.705942028194793,,,,,,,,,10,2010,7.567840576171875
250,0.5427860935438987,0.3065940113554014,0.6705701795726954,0.7962427092129822,197.90735555443752,134.9103221443288,1.9380166105689276,0.6676366795975919,250,-10.705942028194793,,,,,,,,,10,2010,7.567840576171875
30,0.6861138030887941,0.2104827234281378,0.6705701795726954,1.0,0.0,0.0,5.814776363977045,0.7434394538378961,30,-3.849102644903885,,,,,,,,,11,2011,7.540618419647217
40,0.6795574248182266,0.2148792351823787,0.6705701795726954,0.9904441825232905,9.952220912616452,6.828356139535103,5.787204633310637,0.6883524788997415,40,-3.849102644903885,,,,,,,,,11,2011,7.540618419647217
50,0.6575593918321521,0.2296304601120968,0.6705701795726954,0.9583823978936237,19.69635381470102,13.513940222786996,5.706171162763701,0.5583018384607003,50,-3.753882391393456,,,,,,,,,11,2011,7.540618419647217
60,0.657418622844485,0.2297248555974349,0.6705701795726954,0.9581772293238714,29.279151950788496,20.08883029617018,5.706171162763701,0.6066019654336889,60,-3.753882391393456,,,,,,,,,11,2011,7.540618419647217
70,0.6244305185145783,0.2518456946417033,0.6705701795726954,0.910097589792647,38.62052604637109,26.498076002965497,5.729414034654444,0.8136377072481713,70,-8.25964073070844,,,,,,,,,11,2011,7.540618419647217
80,0.6196740091234122,0.2550352679982768,0.6705701795726954,0.9031650526978489,47.68683925882357,32.71859864115545,5.7144396658443855,0.8550325093942701,80,-8.25964073070844,,,,,,,,,11,2011,7.540618419647217
90,0.6140614984531487,0.258798850286289,0.6705701795726954,0.8949849072977757,56.677589058801686,38.88727617903826,5.693436577589274,0.8999601433183757,90,-8.25964073070844,,,,,,,,,11,2011,7.540618419647217
100,0.6091690819889632,0.2620795588732223,0.6705701795726954,0.8878542877968117,65.59178503427462,45.00342908124882,5.66233495003762,0.85646980949221,100,-8.25964073070844,,,,,,,,,11,2011,7.540618419647217
110,0.6048820762677544,0.2649542970695225,0.6705701795726954,0.881606044864066,74.43908669757901,51.073684872532404,5.6217924877236705,0.6430754104053154,110,-8.25964073070844,,,,,,,,,11,2011,7.540618419647217
120,0.5828313616825309,0.2797408487086421,0.6705701795726954,0.849467477638113,83.09445431008992,57.01225206228383,5.092302387862326,0.6572924451581448,120,-7.795936626014666,,,,,,,,,11,2011,7.540618419647217
130,0.5715400619178753,0.2873124576194363,0.6705701795726954,0.8330105870846456,91.50684463370371,62.78410918028586,5.025217136633116,0.5413321092498551,130,-11.09011215289015,,,,,,,,,11,2011,7.540618419647217
140,0.569725259642093,0.2885294099073966,0.6705701795726954,0.8303655415140532,99.8237252766972,68.4904357880857,4.059556312108457,0.5964413960563015,140,-11.09011215289015,,,,,,,,,11,2011,7.540618419647217
