n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_tsfc.graph_0.wloa_semantic_type,kernel_weight.f0_tsfc.sizing,kernel_weight.f0_tsfc.interaction.graph_0_wloa_semantic_type_sizing,kernel_weight.g0_jet_mach.graph_0.wloa_semantic_type,kernel_weight.g0_jet_mach.sizing,kernel_weight.g0_jet_mach.interaction.graph_0_wloa_semantic_type_sizing,kernel_weight.g1_pr.graph_0.wloa_semantic_type,kernel_weight.g1_pr.sizing,kernel_weight.g1_pr.interaction.graph_0_wloa_semantic_type_sizing,kernel_weight.g2_pr.graph_0.wloa_semantic_type,kernel_weight.g2_pr.sizing,kernel_weight.g2_pr.interaction.graph_0_wloa_semantic_type_sizing,kernel_weight.g3_pr.graph_0.wloa_semantic_type,kernel_weight.g3_pr.sizing,kernel_weight.g3_pr.interaction.graph_0_wloa_semantic_type_sizing,kernel_weight.g4_pr_perc_sum.graph_0.wloa_semantic_type,kernel_weight.g4_pr_perc_sum.sizing,kernel_weight.g4_pr_perc_sum.interaction.graph_0_wloa_semantic_type_sizing,kernel_diagnostics.f0_tsfc.graph_0.wloa_semantic_type.depth,kernel_diagnostics.f0_tsfc.graph_0.wloa_semantic_type.num_levels,kernel_diagnostics.g0_jet_mach.graph_0.wloa_semantic_type.depth,kernel_diagnostics.g0_jet_mach.graph_0.wloa_semantic_type.num_levels,kernel_diagnostics.g1_pr.graph_0.wloa_semantic_type.depth,kernel_diagnostics.g1_pr.graph_0.wloa_semantic_type.num_levels,kernel_diagnostics.g2_pr.graph_0.wloa_semantic_type.depth,kernel_diagnostics.g2_pr.graph_0.wloa_semantic_type.num_levels,kernel_diagnostics.g3_pr.graph_0.wloa_semantic_type.depth,kernel_diagnostics.g3_pr.graph_0.wloa_semantic_type.num_levels,kernel_diagnostics.g4_pr_perc_sum.graph_0.wloa_semantic_type.depth,kernel_diagnostics.g4_pr_perc_sum.graph_0.wloa_semantic_type.num_levels,run,seed,runtime_sec
175,0.22225143847792772,0.21383411558908363,54.45805954403496,56.601735588520356,6.8623695866373575,6.64011814815943,175,6.8623695866373575,85.0,,,34.59613276552409,289.8813204932958,2929.922749123536,52832,0.05545735064210206,0.008564753309721665,0.5190428862917501,0.4723923603985282,0.0068352606100031904,0.5582453215674443,0.4349194178225525,0.008556625194418289,0.507337132936646,0.4841062418689358,0.015263793390797857,0.2155501761081785,0.7691860305010235,0.008357616255462785,0.23588949761416148,0.7557528861303757,0.00595654540386366,0.5315730381408155,0.4624704164553209,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,9,61,8863.62595295906
185,0.2167495465558389,0.20854059667517374,56.56993310535625,58.79674051368919,6.856867694715269,6.64011814815943,185,6.856867694715269,89.0,,,33.53228649124503,311.3956736465916,3232.1637635938823,58040,0.0556885555409008,0.008612105497660373,0.5200249095602019,0.4713629849421378,0.0068832856478108564,0.5624712851077565,0.4306454292444327,0.008582653649436734,0.5143529896884254,0.4770643566621378,0.01532797865678059,0.2163796617013629,0.7682923596418566,0.008527730129173416,0.5197936258352454,0.4716786440355813,0.015490696319674232,0.21103108323049108,0.7734782204498346,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,9,61,8863.62595295906
195,0.2167495465558389,0.20854059667517374,58.655339072107985,60.964235979247576,6.856867694715269,6.64011814815943,195,6.856867694715269,94.0,,,34.378591787070036,346.70342954434454,3567.8919555749744,63322,0.05634521896931516,0.008638976635647192,0.5210846230905951,0.47027640027375767,0.0068716473191466525,0.5534225081892645,0.43970584449158884,0.008641605184726368,0.5171241870123348,0.4742342078029389,0.008072341706467565,0.311957531569407,0.6799701267241255,0.008255322928177851,0.24003564862440896,0.7517090284474132,0.01589331048159791,0.21091754242824165,0.7731891470901604,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,9,61,8863.62595295906
205,0.2167495465558389,0.20854059667517374,60.74074503885972,63.131731444805965,6.856867694715269,6.64011814815943,205,6.856867694715269,104.0,,,34.58166169375181,325.2819700827822,3882.548323130235,68587,0.05660764172700709,0.00863884635256269,0.5241923921084437,0.46716876153899367,0.006820021234751128,0.5530803597531679,0.44009961901208094,0.015372350087651396,0.21747729790091644,0.7671503520114322,0.015402819940454168,0.20331640582310925,0.7812807742364366,0.008137187568057702,0.297903161615237,0.6939596508167053,0.0068860207098491045,0.5486841797786312,0.44442979951151984,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,9,61,8863.62595295906
215,0.20871962151439494,0.20081478877380293,62.787521966104606,65.25907728515713,6.848837769673825,6.64011814815943,215,6.848837769673825,114.0,,,42.14678413141519,419.67507619876415,4287.546389660798,74017,0.05792650863532429,0.008592344491386055,0.5254743964070095,0.46593325910160427,0.12177369362769,0.8735435435243113,0.004682762847998771,0.008166078454518982,0.3010168495563435,0.6908170719891374,0.01516615500627313,0.2063014304524914,0.7785324145412356,0.008148305102965409,0.29116468069379625,0.7006870142032383,0.014774556589943175,0.21376347702151177,0.7714619663885451,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,9,61,8863.62595295906
225,0.20871962151439494,0.20081478877380293,64.79566985384264,67.34627350030108,6.848837769673825,6.64011814815943,225,6.848837769673825,124.0,,,37.489123336970806,319.7277783714235,4598.56407164596,79203,0.058060478411751576,0.008515997324580995,0.5193762867707526,0.47210771590466627,0.006860765940947296,0.5527274209641412,0.44041181309491145,0.008411190783536108,0.5216115991210425,0.4699772100954214,0.015336380544017496,0.20617670573013097,0.7784869137258515,0.008344647499993307,0.24827325127936634,0.7433821012206404,0.24742013967211798,0.04115420654690112,0.711425653780981,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,9,61,8863.62595295906
235,0.20871962151439494,0.20081478877380293,66.80381774158067,69.43346971544503,6.848837769673825,6.64011814815943,235,6.848837769673825,134.0,,,39.535419828258455,361.6882652621716,4950.739602971822,84425,0.05864068229756378,0.008608591879926566,0.5140038271337102,0.47738758098636325,0.008785060320872439,0.8134529890769354,0.17776195060219213,0.015915644132374833,0.21117434099846377,0.7729100148691613,0.008089533327963229,0.3070798880211181,0.6848305786509187,0.015508183310665915,0.21623089179115848,0.7682609248981757,0.015342396072922678,0.22482364030625898,0.7598339636208183,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,9,61,8863.62595295906
245,0.15934341829879628,0.15330860920501255,68.57443473147475,71.27378491451098,6.799461566458226,6.64011814815943,245,6.799461566458226,143.0,,,39.48864276800305,370.7802122766152,5311.891102853231,89651,0.05925077358705682,0.30731325179556934,0.6178649302948693,0.07482181790956137,0.008764766736129028,0.813010955920062,0.17822427734380894,0.19171969979908252,0.16688207938054317,0.6413982208203743,0.008356232414586724,0.24835473631996316,0.7432890312654501,0.3825335845209395,0.0038253358452093895,0.6136410796338512,0.006757958031227604,0.5487634994501591,0.4444785425186132,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,9,61,8863.62595295906
255,0.15934341829879628,0.15330860920501255,70.10752082352488,72.86721909749895,6.799461566458226,6.64011814815943,255,6.799461566458226,153.0,,,48.459682614542544,477.8547426518053,5774.3994196448475,95107,0.060714767784125746,0.1782174622801199,0.664673127715145,0.15710941000473508,0.008796741206484946,0.8133646132514962,0.17783864554201875,0.01564884468391071,0.21877453164722746,0.7655766236688618,0.005930081019361664,0.5365282453442256,0.45754167363641285,0.015710537691589633,0.15554308246465998,0.8287463798437504,0.01016652929171273,0.6285320751258562,0.3613013955824312,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,9,61,8863.62595295906
265,0.15886256326088688,0.1528459655773173,71.63829369743652,74.45824900529736,6.798980711420317,6.64011814815943,265,6.798980711420317,155.0,,,40.94066154118627,355.59622338879853,6119.286163967103,99696,0.061379455183428654,0.8416122706115097,0.12205575600812499,0.036331973380365264,0.2446652487104996,0.7528880988023954,0.002446652487105004,0.015629794304351165,0.21898065434530561,0.7653895513503433,0.4568476026425664,0.004568476026425666,0.538583921331008,0.9300573647463944,0.009300573647463945,0.06064206160614166,0.9779038872157957,0.012317073912046278,0.009779038872157952,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,9,61,8863.62595295906
275,0.14481834402932492,0.1393336426916389,73.0991917387813,75.97665354174842,6.784936492188755,6.64011814815943,275,6.784936492188755,164.0,,,48.02107359748334,387.2287560803816,6496.9103372124955,104919,0.061923105797925024,0.008503378221461869,0.5132990254113622,0.47819759636717596,0.16014830829421914,0.8382502086228387,0.001601483082942189,0.008209546947927917,0.2997419821406437,0.6920484709114284,0.008593866049592173,0.5039399478310649,0.487466186119343,0.00830649882044371,0.24774486787379274,0.7439486333057636,0.008302247484517473,0.29649167025037965,0.6952060822651028,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,9,61,8863.62595295906
285,0.14481834402932492,0.1393336426916389,74.49252816569769,77.42483698204167,6.784936492188755,6.64011814815943,285,6.784936492188755,174.0,,,43.18032132461667,368.16025049518794,6854.657825214788,109496,0.06260190166960243,0.006864707902740715,0.5557679818840772,0.437367310213182,0.008704305183577676,0.8210456037082766,0.17025009110814565,0.008393993378931725,0.23560659504493095,0.7559994115761374,0.008330194448288065,0.23855306993985592,0.7531167356118561,0.015297404684180116,0.19545331218671225,0.7892492831291075,0.012501708906031797,0.6317407476060793,0.35575754348788874,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,9,61,8863.62595295906
295,0.031094618994362833,0.029916973306336702,75.33878124568757,78.30440179716011,6.671212767153793,6.64011814815943,295,6.671212767153793,184.0,,,44.44266347028315,444.4528798069805,7287.439867844805,114804,0.0634772296073726,0.00689862614998964,0.5486109111564589,0.4444904626935515,0.00871992223252214,0.8136613685577044,0.17761870920977338,0.00808335715797193,0.30710787455222893,0.6848087682897991,0.008115981352399302,0.3052266010394431,0.6866574176081576,0.015635499527258515,0.1950244203791931,0.7893400800935484,0.005910185287662212,0.5230331959887715,0.47105661872356624,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,9,61,8863.62595295906
305,0.031094618994362833,0.029916973306336702,75.63795097875094,78.61534798710375,6.671212767153793,6.64011814815943,305,6.671212767153793,194.0,,,45.74228944070637,411.27743380889297,7687.522133529186,120092,0.06401360734711044,0.3011567735126503,0.5716205587063737,0.12722266778097593,0.008781005790842143,0.8200377664071332,0.17118122780202466,0.2590485055365301,0.08656443815637946,0.6543870563070904,0.454756121130034,0.158051720483857,0.3871921583861089,0.13178252829008277,0.339846118694646,0.5283713530152713,0.009848891213034356,0.6347866059323731,0.3553645028545926,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,9,61,8863.62595295906
