n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_failure_rate.graph_0.wloa_semantic_type,kernel_weight.f0_failure_rate.sizing,kernel_weight.f0_failure_rate.interaction.graph_0_wloa_semantic_type_sizing,kernel_weight.f1_mass.graph_0.wloa_semantic_type,kernel_weight.f1_mass.sizing,kernel_weight.f1_mass.interaction.graph_0_wloa_semantic_type_sizing,kernel_diagnostics.f0_failure_rate.graph_0.wloa_semantic_type.depth,kernel_diagnostics.f0_failure_rate.graph_0.wloa_semantic_type.num_levels,kernel_diagnostics.f1_mass.graph_0.wloa_semantic_type.depth,kernel_diagnostics.f1_mass.graph_0.wloa_semantic_type.num_levels,run,seed,runtime_sec
100,0.2291124687532136,0.5048945121515426,0.6549522358144216,0.3688231506429462,47.78157003525243,29.68185010240661,1.3609539248760665,0.9242018649576208,100,-3.6379424351679095,90.0,,,9.718839166220278,79.0998282507062,499.5446901307441,33857,0.0147545467741011,0.0059748575437457,0.534539700574652,0.4594854418816021,0.1874273355454516,0.8106983910990939,0.0018742733554545,6.0,7.0,6.0,7.0,6,58,1588.324675321579
110,0.1305389993384213,0.5694554263367453,0.6549522358144216,0.2101404837535657,50.676388207234986,31.480107442864785,1.201284882569469,1.017380641706353,110,-3.6379424351679095,100.0,,,9.94156293803826,96.16065326705576,591.8883170802146,38808,0.0152517088507579,0.0059117504379915,0.5277511184509491,0.4663371311110593,0.1716854104632489,0.8265977354321186,0.0017168541046324,6.0,7.0,6.0,7.0,6,58,1588.324675321579
120,0.1277543738583846,0.5712792230208011,0.6549522358144216,0.2056578191980455,52.75537972199304,32.77157430884881,1.141525024546331,1.0234186518503934,120,-3.6379424351679095,110.0,,,10.034771707840264,82.40232758782804,670.435921412427,43800,0.0153067561966307,0.0151599348789129,0.2188066451919097,0.7660334199291772,0.1897407153035459,0.8083618775434187,0.0018974071530354,6.0,7.0,6.0,7.0,6,58,1588.324675321579
130,0.125258490351265,0.5729139075041214,0.6549522358144216,0.201639968822014,54.79186866209334,34.03663862989706,1.0020881936785957,1.0370633226204176,130,-3.6379424351679095,120.0,,,10.49633746407926,81.37991475313902,747.8845899347216,48986,0.0152673129043955,0.0082917774906932,0.2351563047868135,0.7565519177224933,0.1809397548707901,0.8172508475805019,0.0018093975487078,6.0,7.0,6.0,7.0,6,58,1588.324675321579
140,0.1205683590913938,0.5759857194590372,0.6549522358144216,0.1940898385405497,56.77051769890616,35.26577287711036,0.9257687391047806,1.101768938518627,140,-3.6379424351679095,130.0,,,10.815364995971322,102.00751652987674,845.7943007661961,54288,0.015579765339784,0.0155369083991672,0.2131510998587515,0.7713119917420812,0.1554246823097696,0.8430210708671327,0.0015542468230976,6.0,7.0,6.0,7.0,6,58,1588.324675321579
150,0.1173286026147978,0.578107605206878,0.6549522358144216,0.1888745082815009,58.685339433016416,36.455257685641314,0.9011917890968224,1.0719414691838796,150,-3.6379424351679095,140.0,,,11.162717667873949,85.66745380312204,929.009364828933,57045,0.016285552893837,0.0083583579250839,0.2280015713610644,0.7636400707138516,0.1921096805190609,0.8059692226757484,0.0019210968051906,6.0,7.0,6.0,7.0,6,58,1588.324675321579
160,0.1170707649536775,0.5782764765595059,0.6549522358144216,0.18845944357967,60.57200919232227,37.62725452348369,0.8443381785252404,1.0223435707640094,160,-3.6379424351679095,150.0,,,11.577033756766468,50.7509696232155,977.4106298931874,59542,0.016415482010903,0.0155673797234423,0.2027887530787185,0.7816438671978392,0.2296922650866324,0.7680108122625015,0.0022969226508663,6.0,7.0,6.0,7.0,6,58,1588.324675321579
170,0.1168360216035604,0.5784302222415076,0.6549522358144216,0.1880815558878572,62.4547141896599,38.79678845626988,0.8288476553046048,1.0306872116653734,170,-3.6379424351679095,160.0,,,12.734648711048068,59.08708285400644,1033.9872401291505,62373,0.0165774812840355,0.0083331644748729,0.2336540947898522,0.7580127407352748,0.2201338562749205,0.7776648051623304,0.0022013385627492,6.0,7.0,6.0,7.0,6,58,1588.324675321579
180,0.1166172229801827,0.578573524889082,0.6549522358144216,0.1877293358708951,64.33376864845367,39.96405467918859,0.82649512929446,1.0277822143169422,180,-3.6379424351679095,170.0,,,12.267908250913024,107.07735914317892,1137.295326212421,67110,0.0169467341113458,0.0083286675035253,0.2348523597149924,0.7568189727814821,0.1525553983148577,0.8459190477019938,0.0015255539831485,6.0,7.0,6.0,7.0,6,58,1588.324675321579
190,0.1137358791698992,0.5804606674597772,0.6549522358144216,0.1830909750345017,66.18787020298066,41.115820189939,0.8000559741921751,1.003549645043324,190,-3.6379424351679095,180.0,,,14.572989350184798,96.433378174901,1229.6745344717056,72312,0.0170051241076405,0.0083098214614099,0.2333378307958431,0.7583523477427468,0.1503735112890211,0.8481227535980888,0.0015037351128902,6.0,7.0,6.0,7.0,6,58,1588.324675321579
