n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_tsfc.graph_0.esp_semantic_type,kernel_weight.f0_tsfc.sizing,kernel_weight.g0_jet_mach.graph_0.esp_semantic_type,kernel_weight.g0_jet_mach.sizing,kernel_weight.g1_pr.graph_0.esp_semantic_type,kernel_weight.g1_pr.sizing,kernel_weight.g2_pr.graph_0.esp_semantic_type,kernel_weight.g2_pr.sizing,kernel_weight.g3_pr.graph_0.esp_semantic_type,kernel_weight.g3_pr.sizing,kernel_weight.g4_pr_perc_sum.graph_0.esp_semantic_type,kernel_weight.g4_pr_perc_sum.sizing,kernel_diagnostics.f0_tsfc.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g0_jet_mach.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g1_pr.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g2_pr.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g3_pr.graph_0.esp_semantic_type.sigma,kernel_diagnostics.g4_pr_perc_sum.graph_0.esp_semantic_type.sigma,run,seed,runtime_sec
185,0.1511960807305854,0.1454698355384155,21.839000451445816,22.698666449376105,6.791314228890015,6.64011814815943,185,6.791314228890015,120.0,,,120.05189263354988,285.80608547944576,2851.1573787368834,58875,0.048427301549671,0.5808857709461458,0.4191142290538541,0.0102534779836872,0.9897465220163127,0.2010964953673283,0.7989035046326717,0.1915897616059527,0.8084102383940472,0.8539877754817027,0.1460122245182972,0.3179841884281165,0.6820158115718835,0.0101355831098402,20.000000000000004,0.0001021823237955,0.0017805820782053,0.0084355860466501,0.0012858246756715,9,61,9507.219477415085
195,0.1511960807305854,0.1454698355384155,23.293698806829973,24.21062725668196,6.791314228890015,6.64011814815943,195,6.791314228890015,130.0,,,126.03464579861613,300.2891053240746,3136.620074582286,64306,0.0487764761388095,0.9209307883504856,0.0790692116495142,0.0110869371609521,0.988913062839048,0.3296185170604534,0.6703814829395466,0.308492739022208,0.691507260977792,0.8732020926885035,0.1267979073114964,0.806875311908372,0.1931246880916278,19.87308670742819,20.000000000000004,0.0001325440702151,0.0001756768513432,0.9263558539660028,0.1408234427275213,9,61,9507.219477415085
205,0.1511960807305854,0.1454698355384155,24.74839716221413,25.72258806398781,6.791314228890015,6.64011814815943,205,6.791314228890015,140.0,,,138.21746556367725,244.98247351124883,3367.854867693968,68917,0.0488682744126118,0.8388582470954724,0.1611417529045276,0.0102831703683297,0.9897168296316704,0.2042405525980104,0.7957594474019896,0.4596381966533141,0.5403618033466858,0.8205749569251297,0.1794250430748702,0.8691565227532637,0.1308434772467363,0.0046674985403711,20.000000000000004,0.000438017570492,0.000984927791985,0.000356083794658,0.002253769481357,9,61,9507.219477415085
215,0.1511960807305854,0.1454698355384155,26.203095517598285,27.234548871293665,6.791314228890015,6.64011814815943,215,6.791314228890015,150.0,,,148.56676423735917,270.6536102872342,3628.226744290441,74166,0.0489203508924634,0.8710169660190344,0.1289830339809654,0.0102718969782264,0.9897281030217736,0.6231016632882828,0.3768983367117172,0.4450605506527645,0.5549394493472355,0.0271350388952236,0.9728649611047764,0.3969685120532256,0.6030314879467744,0.0458910896370348,19.999999999999982,0.2306179870727564,0.0084968099240877,4.112903503093091,0.0012057467772447,9,61,9507.219477415085
225,0.1511960807305854,0.1454698355384155,27.65779387298244,28.74650967859952,6.791314228890015,6.64011814815943,225,6.791314228890015,158.0,,,161.08494360093027,285.64026851113886,3900.7173954211175,79531,0.0490465025640456,0.8457096675374782,0.1542903324625217,0.0263254148398431,0.9736745851601568,0.2948522646451936,0.7051477353548065,0.3048791183423717,0.6951208816576282,0.8717027593593598,0.1282972406406402,0.2945663012188704,0.7054336987811296,0.0002769085225157,20.000000000000004,0.0008128353894169,0.0001521633447973,0.0003520554930421,0.000422804378926,9,61,9507.219477415085
235,0.1511960807305854,0.1454698355384155,29.1124922283666,30.258470485905374,6.791314228890015,6.64011814815943,235,6.791314228890015,168.0,,,170.95122474245727,256.64816710632294,4145.276713445783,84851,0.048853598819646,0.7191565489588626,0.2808434510411374,0.0103199849987477,0.9896800150012522,0.4419065452609305,0.5580934547390696,0.2592692147980673,0.7407307852019327,0.8725053323017133,0.1274946676982866,0.9147072761024456,0.0852927238975544,0.0001055343988205,20.000000000000004,0.0001127557129262,0.0004508380126541,0.0002274368865842,0.0004439668386476,9,61,9507.219477415085
245,0.1511960807305854,0.1454698355384155,30.567190583750754,31.770431293211228,6.791314228890015,6.64011814815943,245,6.791314228890015,178.0,,,169.26044695079327,303.7350615495816,4437.059123300947,90170,0.0492077090307302,0.9049504791727508,0.0950495208272491,0.0103218435258663,0.9896781564741336,0.6365849507382775,0.3634150492617225,0.3360692935480432,0.6639307064519567,0.0262714330820417,0.9737285669179582,0.1774016555902977,0.8225983444097023,20.000000000000004,20.000000000000004,20.000000000000004,0.0005152867279473,17.578447735735953,0.0005687040178867,9,61,9507.219477415085
255,0.1511960807305854,0.1454698355384155,32.02188893913491,33.282392100517086,6.791314228890015,6.64011814815943,255,6.791314228890015,188.0,,,180.4095741156489,302.08858355507255,4725.069019944407,95478,0.0494885630191709,0.8826025584322504,0.1173974415677495,0.0110411877163094,0.9889588122836904,0.257497815064731,0.742502184935269,0.8174546937192195,0.1825453062807804,0.0271660196697061,0.9728339803302938,0.1819090962237406,0.8180909037762594,19.999999999999996,20.000000000000004,0.3846832954160094,18.87199292722238,17.579713736947802,0.0003507141060805,9,61,9507.219477415085
265,0.1511960807305854,0.1454698355384155,33.476587294519064,34.79435290782294,6.791314228890015,6.64011814815943,265,6.791314228890015,190.0,,,183.22924059443176,303.7394768772647,5014.408646623604,100893,0.0497002631166047,0.1972063046355656,0.8027936953644343,0.0109631246699445,0.9890368753300556,0.2002778045320211,0.7997221954679788,0.2639236209735161,0.7360763790264838,0.0163209423247757,0.9836790576752242,0.6553714615142769,0.344628538485723,0.0001272871008803,19.999999999999996,0.0001120698626721,0.0007061008604705,0.2861068010556258,0.0002092856698224,9,61,9507.219477415085
275,0.1511960807305854,0.1454698355384155,34.93128564990322,36.3063137151288,6.791314228890015,6.64011814815943,275,6.791314228890015,200.0,,,205.6178198968992,292.9422057569027,5295.00521376729,106224,0.0498475411749443,0.1843408497100325,0.8156591502899675,0.026442598235739,0.973557401764261,0.6517929664686578,0.3482070335313422,0.3186103767057888,0.6813896232942112,0.0264494940186832,0.9735505059813168,0.7726998843065517,0.2273001156934482,0.0007404947326593,20.000000000000004,0.0003563463578097,0.0001781663733944,18.625136936955244,0.0008898069936841,9,61,9507.219477415085
